Set Number,Battery Number,Tasks,Estimated Time (min)
Set 1,Battery 1,"nback, cuedTS, visual_search, spatialTS, ax-cpt",57.383333336999996
Set 1,Battery 2,"stop_signal, go-nogo, span, stroop",48.645000001
Set 1,Battery 3,"spatial_cueing, flanker, nback, cuedTS, visual_search, spatialTS",59.88833334399999
Set 1,Battery 4,"ax-cpt, stop_signal, go-nogo, span",58.986666664
Set 1,Battery 5,"stroop, spatial_cueing, flanker, nback, cuedTS, visual_search",56.213333340999995
Set 1,Battery 6,"spatialTS, ax-cpt, stop_signal, go-nogo",45.428333334
Set 1,Battery 7,"span, stroop, spatial_cueing, flanker, nback",58.691666671
Set 1,Battery 8,"cuedTS, visual_search, spatialTS, ax-cpt, stop_signal",57.158333337
Set 1,Battery 9,"go-nogo, survey",49.471666667
Set 1,Battery 10,"span, stroop, spatial_cueing, flanker, nback",58.691666671
Set 1,Battery 11,"cuedTS, visual_search, spatialTS, ax-cpt, stop_signal",57.158333337
Set 1,Battery 12,"go-nogo, span, stroop, spatial_cueing, flanker",58.891666671
Set 2,Battery 1,"go-nogo, spatialTS, spatial_cueing, stroop, flanker, cuedTS",55.455000010999996
Set 2,Battery 2,"span, ax-cpt, nback, stop_signal",58.786666663999995
Set 2,Battery 3,"visual_search, go-nogo, spatialTS, spatial_cueing, stroop, flanker",56.413333341000005
Set 2,Battery 4,"cuedTS, span, ax-cpt, nback",59.861666667
Set 2,Battery 5,"stop_signal, visual_search, go-nogo, spatialTS, spatial_cueing",52.566666674
Set 2,Battery 6,"stroop, flanker, survey",52.893333334
Set 2,Battery 7,"cuedTS, span, ax-cpt, nback",59.861666667
Set 2,Battery 8,"stop_signal, visual_search, go-nogo, spatialTS, spatial_cueing, stroop",59.013333341
Set 2,Battery 9,"flanker, cuedTS, span, ax-cpt",57.036666667
Set 2,Battery 10,"nback, stop_signal, visual_search, go-nogo, spatialTS",48.991666671000004
Set 2,Battery 11,"spatial_cueing, stroop, flanker, cuedTS, span",59.541666674
Set 2,Battery 12,"ax-cpt, nback, stop_signal, visual_search",46.186666664
Set 3,Battery 1,"stop_signal, flanker, span, cuedTS",49.295000004
Set 3,Battery 2,"ax-cpt, nback, stroop, spatial_cueing, spatialTS",55.475000003999995
Set 3,Battery 3,"visual_search, go-nogo, stop_signal, flanker, span",59.725000001
Set 3,Battery 4,"cuedTS, ax-cpt, nback, stroop, spatial_cueing",55.475000004
Set 3,Battery 5,"spatialTS, visual_search, go-nogo, stop_signal, flanker",46.166666671
Set 3,Battery 6,"span, cuedTS, ax-cpt, nback",59.861666667
Set 3,Battery 7,"stroop, spatial_cueing, spatialTS, visual_search, go-nogo",49.966666674
Set 3,Battery 8,"stop_signal, flanker, survey",55.493333334
Set 3,Battery 9,"span, cuedTS, ax-cpt, nback",59.861666667
Set 3,Battery 10,"stroop, spatial_cueing, spatialTS, visual_search, go-nogo, stop_signal",59.013333341000006
Set 3,Battery 11,"flanker, span, cuedTS, ax-cpt",57.036666667
Set 3,Battery 12,"nback, stroop, spatial_cueing, spatialTS, visual_search, go-nogo",59.23833334099999
Set 4,Battery 1,"visual_search, ax-cpt, spatial_cueing, go-nogo, nback",59.458333333999995
Set 4,Battery 2,"spatialTS, stroop, cuedTS, span, flanker",56.816666674000004
Set 4,Battery 3,"stop_signal, visual_search, ax-cpt, spatial_cueing, go-nogo",59.233333334
Set 4,Battery 4,"nback, spatialTS, stroop, cuedTS, span",59.641666674
Set 4,Battery 5,"flanker, stop_signal, visual_search, ax-cpt, spatial_cueing",56.208333333999995
Set 4,Battery 6,"go-nogo, nback, spatialTS, stroop, cuedTS",45.433333340999994
Set 4,Battery 7,"span, flanker, stop_signal, visual_search",50.253333334
Set 4,Battery 8,"ax-cpt, spatial_cueing, go-nogo, nback, spatialTS",58.500000004
Set 4,Battery 9,"stroop, cuedTS, span, flanker, stop_signal",55.741666671000004
Set 4,Battery 10,"visual_search, survey",51.08
Set 4,Battery 11,"ax-cpt, spatial_cueing, go-nogo, nback, spatialTS",58.500000004
Set 4,Battery 12,"stroop, cuedTS, span, flanker, stop_signal",55.741666671000004
