,success,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,trial_id,trial_duration,view_history,exp_stage,block_num,stimulus_duration,condition,cue_letter,choices,correct_response,correct_trial,probe_letter,ITIParams,current_question,current_key_answer,exp_id,attention_check_percent
0,True,fullscreen,0,1678,0.0-0.0,,,,,,,,,,,,,,,,,,,,
1,,html-keyboard-response,1,1794,0.0-1.0-0.0,114.0,"<div class = centerbox><p class = center-block-text>
    
  <p class=center-block-text>
    Welcome! This experiment will take around 17 minutes.
  </p>
  <p class=center-block-text>
    To avoid technical issues,
    please keep the experiment tab (on Chrome or Firefox)
    active and fullscreen for the whole duration of each task.
  </p>
  <p class=center-block-text> Press <i>enter</i> to begin.</p>

    </p></div>",enter,instruction_feedback,180000.0,,,,,,,,,,,,,,,
2,,instructions,2,2996,0.0-1.0-1.0,1201.0,,,instructions,,"[{'page_index': 0, 'viewing_time': 990}, {'page_index': 1, 'viewing_time': 210}]",,,,,,,,,,,,,,
3,,html-keyboard-response,3,3621,0.0-2.0-0.0,622.0,"<div class = bigbox><div class = picture_box><p class = block-text>
    
  <div class = centerbox>
    <p class = center-block-text>Press <i>enter</i> to begin practice.</p>
  </div>

    </font></p></div></div>",enter,practice_feedback,60000.0,,practice,0.0,,,,,,,,,,,,
4,,call-function,4,4628,0.0-2.0-1.0,,,,,,,,,,,,,,,,,,,,
5,,html-keyboard-response,5,5132,0.0-2.0-2.0,,<div class = centerbox><div class = fixation>+</div></div>,,practice_fixation,500.0,,practice,0.0,500.0,,,,,,,,,,,
6,,html-keyboard-response,6,5635,0.0-2.0-3.0,,<div class = centerbox><div class = AX_text>Z</div></div>,,practice_cue,500.0,,practice,0.0,500.0,BY,Z,,,,,,,,,
7,,html-keyboard-response,7,8641,0.0-2.0-4.0,,<div class = centerbox><div class = fixation>+</div></div>,,practice_inter-stimulus,3000.0,,practice,0.0,3000.0,,,,,,,,,,,
8,,html-keyboard-response,8,10147,0.0-2.0-5.0,351.0,<div class = centerbox><div class = AX_text>Z</div></div>,",",practice_probe,1500.0,,practice,0.0,1000.0,BY,,"['.', ',']",",",1,Z,,,,,
9,,html-keyboard-response,9,10651,0.0-2.0-6.0,,<div class = fb_box><div class = center-text><font size =20>Correct!</font></div></div>,,practice_feedback,500.0,,practice,,,,,,,,,,,,,
10,,html-keyboard-response,10,10908,0.0-2.0-7.0,,<div class = centerbox><div class = fixation>+</div></div>,,practice_ITI,250.93497899116434,,practice,0.0,250.93497899116434,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,
11,,call-function,11,10909,0.0-2.0-8.0,,,,,,,,,,,,,,,,,,,,
12,,html-keyboard-response,12,11413,0.0-2.0-9.0,,<div class = centerbox><div class = fixation>+</div></div>,,practice_fixation,500.0,,practice,0.0,500.0,,,,,,,,,,,
13,,html-keyboard-response,13,11917,0.0-2.0-10.0,,<div class = centerbox><div class = AX_text>Q</div></div>,,practice_cue,500.0,,practice,0.0,500.0,BX,Q,,,,,,,,,
14,,html-keyboard-response,14,14919,0.0-2.0-11.0,,<div class = centerbox><div class = fixation>+</div></div>,,practice_inter-stimulus,3000.0,,practice,0.0,3000.0,,,,,,,,,,,
15,,html-keyboard-response,15,16426,0.0-2.0-12.0,408.0,<div class = centerbox><div class = AX_text>X</div></div>,",",practice_probe,1500.0,,practice,0.0,1000.0,BX,,"['.', ',']",",",1,X,,,,,
16,,html-keyboard-response,16,16928,0.0-2.0-13.0,,<div class = fb_box><div class = center-text><font size =20>Correct!</font></div></div>,,practice_feedback,500.0,,practice,,,,,,,,,,,,,
17,,html-keyboard-response,17,17555,0.0-2.0-14.0,,<div class = centerbox><div class = fixation>+</div></div>,,practice_ITI,621.2549655705902,,practice,0.0,621.2549655705902,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,
18,,call-function,18,17556,0.0-2.0-15.0,,,,,,,,,,,,,,,,,,,,
19,,html-keyboard-response,19,18061,0.0-2.0-16.0,,<div class = centerbox><div class = fixation>+</div></div>,,practice_fixation,500.0,,practice,0.0,500.0,,,,,,,,,,,
20,,html-keyboard-response,20,18565,0.0-2.0-17.0,,<div class = centerbox><div class = AX_text>A</div></div>,,practice_cue,500.0,,practice,0.0,500.0,AY,A,,,,,,,,,
21,,html-keyboard-response,21,21569,0.0-2.0-18.0,,<div class = centerbox><div class = fixation>+</div></div>,,practice_inter-stimulus,3000.0,,practice,0.0,3000.0,,,,,,,,,,,
22,,html-keyboard-response,22,23076,0.0-2.0-19.0,632.0,<div class = centerbox><div class = AX_text>L</div></div>,",",practice_probe,1500.0,,practice,0.0,1000.0,AY,,"['.', ',']",",",1,L,,,,,
23,,html-keyboard-response,23,23581,0.0-2.0-20.0,,<div class = fb_box><div class = center-text><font size =20>Correct!</font></div></div>,,practice_feedback,500.0,,practice,,,,,,,,,,,,,
24,,html-keyboard-response,24,24522,0.0-2.0-21.0,,<div class = centerbox><div class = fixation>+</div></div>,,practice_ITI,934.88861552537,,practice,0.0,934.88861552537,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,
25,,call-function,25,24522,0.0-2.0-22.0,,,,,,,,,,,,,,,,,,,,
26,,html-keyboard-response,26,25024,0.0-2.0-23.0,,<div class = centerbox><div class = fixation>+</div></div>,,practice_fixation,500.0,,practice,0.0,500.0,,,,,,,,,,,
27,,html-keyboard-response,27,25530,0.0-2.0-24.0,,<div class = centerbox><div class = AX_text>A</div></div>,,practice_cue,500.0,,practice,0.0,500.0,AX,A,,,,,,,,,
28,,html-keyboard-response,28,28537,0.0-2.0-25.0,,<div class = centerbox><div class = fixation>+</div></div>,,practice_inter-stimulus,3000.0,,practice,0.0,3000.0,,,,,,,,,,,
29,,html-keyboard-response,29,30040,0.0-2.0-26.0,451.0,<div class = centerbox><div class = AX_text>X</div></div>,.,practice_probe,1500.0,,practice,0.0,1000.0,AX,,"['.', ',']",.,1,X,,,,,
30,,html-keyboard-response,30,30543,0.0-2.0-27.0,,<div class = fb_box><div class = center-text><font size =20>Correct!</font></div></div>,,practice_feedback,500.0,,practice,,,,,,,,,,,,,
31,,html-keyboard-response,31,30669,0.0-2.0-28.0,,<div class = centerbox><div class = fixation>+</div></div>,,practice_ITI,122.49505197463479,,practice,0.0,122.49505197463479,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,
