,success,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,trial_id,trial_duration,view_history,exp_stage,block_num,stimulus_duration,cue,stim_number,task,task_condition,cue_condition,current_trial,correct_response,CTI,choices,correct_trial,ITIParams,attention_check_question,current_key_answer,exp_id,attention_check_percent
0,True,fullscreen,0,3998,0.0-0.0,,,,,,,,,,,,,,,,,,,,,,,,
1,,html-keyboard-response,1,4493,0.0-1.0-0.0,492.0,"<div class = centerbox><p class = center-block-text>
    
  <p class=""center-block-text"">
    Welcome! This experiment will take around 11 minutes.
  </p>
  <p class=""center-block-text"">
    To avoid technical issues, please keep the experiment tab (on Chrome or Firefox) active and fullscreen for the whole duration of each task.
  </p>
  <p class=""center-block-text""> Press <i>enter</i> to begin.</p>

    </p></div>",enter,instruction_feedback,180000.0,,,,,,,,,,,,,,,,,,,
2,,instructions,2,43831,0.0-1.0-1.0,39337.0,,,instructions,,"[{'page_index': 0, 'viewing_time': 18981}, {'page_index': 1, 'viewing_time': 20355}]",,,,,,,,,,,,,,,,,,
3,,html-keyboard-response,3,44791,0.0-2.0-0.0,957.0,"<div class = bigbox><div class = picture_box><p class = block-text>
    <div class = centerbox><p class = center-block-text>Press <i>enter</i> to begin practice.</p></div>
    </font></p></div></div>",enter,practice_feedback,60000.0,,practice,0.0,,,,,,,,,,,,,,,,
4,,call-function,4,44792,0.0-2.0-1.0,,,,set_stims,,,,,,,,,,,,,,,,,,,,
5,,html-keyboard-response,5,45295,0.0-2.0-2.0,,<div class = upperbox><div class = fixation>+</div></div><div class = lowerbox><div class = fixation>+</div></div>,,practice_fixation,500.0,,practice,0.0,500.0,,,,,,,,,,,,,,,
6,,html-keyboard-response,6,45452,0.0-2.0-3.0,,"
    <div class=""upperbox"">
      <div class=""center-text"" style=""color:white;"">Magnitude</div>
    </div>
    <div class=""lowerbox"">
      <div class=""fixation"">+</div>
    </div>
  ",,practice_cue,150.0,,practice,0.0,150.0,Magnitude,4.0,magnitude,na,na,0.0,.,150.0,,,,,,,
7,,html-keyboard-response,7,46956,0.0-2.0-4.0,627.0,"
    <div class=""upperbox"">
      <div class=""center-text"" style=""color:white;"">Magnitude</div>
    </div>
    <div class=""lowerbox"">
      <div class=""gng_number"">
        <div class=""cue-text""><img class = center src='/static/experiments/cued_task_switching_rdoc/images/4.png'></img></div>
      </div>
    </div>
  ",.,practice_trial,1500.0,,practice,0.0,1000.0,Magnitude,4.0,magnitude,na,na,0.0,.,150.0,"[',', '.']",1.0,,,,,
8,,html-keyboard-response,8,47461,0.0-2.0-5.0,,<div class = fb_box><div class = center-text><font size =20 >Correct!</font></div></div>,,practice_feedback,500.0,,practice,,,,,,,,,,,,,,,,,
9,,html-keyboard-response,9,47858,0.0-2.0-6.0,,<div class = upperbox><div class = fixation>+</div></div><div class = lowerbox><div class = fixation>+</div></div>,,practice_ITI,392.73758087567813,,practice,0.0,392.73758087567813,,,,,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,
10,,call-function,10,47859,0.0-2.0-7.0,,,,set_stims,,,,,,,,,,,,,,,,,,,,
11,,html-keyboard-response,11,48363,0.0-2.0-8.0,,<div class = upperbox><div class = fixation>+</div></div><div class = lowerbox><div class = fixation>+</div></div>,,practice_fixation,500.0,,practice,0.0,500.0,,,,,,,,,,,,,,,
12,,html-keyboard-response,12,48521,0.0-2.0-9.0,,"
    <div class=""upperbox"">
      <div class=""center-text"" style=""color:white;"">High-Low</div>
    </div>
    <div class=""lowerbox"">
      <div class=""fixation"">+</div>
    </div>
  ",,practice_cue,150.0,,practice,0.0,150.0,High-Low,1.0,magnitude,stay,switch,1.0,.,150.0,,,,,,,
13,,html-keyboard-response,13,50029,0.0-2.0-10.0,738.0,"
    <div class=""upperbox"">
      <div class=""center-text"" style=""color:white;"">High-Low</div>
    </div>
    <div class=""lowerbox"">
      <div class=""gng_number"">
        <div class=""cue-text""><img class = center src='/static/experiments/cued_task_switching_rdoc/images/1.png'></img></div>
      </div>
    </div>
  ",.,practice_trial,1500.0,,practice,0.0,1000.0,High-Low,1.0,magnitude,stay,switch,1.0,.,150.0,"[',', '.']",1.0,,,,,
14,,html-keyboard-response,14,50535,0.0-2.0-11.0,,<div class = fb_box><div class = center-text><font size =20 >Correct!</font></div></div>,,practice_feedback,500.0,,practice,,,,,,,,,,,,,,,,,
15,,html-keyboard-response,15,50817,0.0-2.0-12.0,,<div class = upperbox><div class = fixation>+</div></div><div class = lowerbox><div class = fixation>+</div></div>,,practice_ITI,278.70400777567414,,practice,0.0,278.70400777567414,,,,,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,
16,,call-function,16,50818,0.0-2.0-13.0,,,,set_stims,,,,,,,,,,,,,,,,,,,,
17,,html-keyboard-response,17,51322,0.0-2.0-14.0,,<div class = upperbox><div class = fixation>+</div></div><div class = lowerbox><div class = fixation>+</div></div>,,practice_fixation,500.0,,practice,0.0,500.0,,,,,,,,,,,,,,,
18,,html-keyboard-response,18,51479,0.0-2.0-15.0,,"
    <div class=""upperbox"">
      <div class=""center-text"" style=""color:white;"">Even-Odd</div>
    </div>
    <div class=""lowerbox"">
      <div class=""fixation"">+</div>
    </div>
  ",,practice_cue,150.0,,practice,0.0,150.0,Even-Odd,2.0,parity,switch,switch,2.0,",",150.0,,,,,,,
19,,html-keyboard-response,19,52986,0.0-2.0-16.0,686.0,"
    <div class=""upperbox"">
      <div class=""center-text"" style=""color:white;"">Even-Odd</div>
    </div>
    <div class=""lowerbox"">
      <div class=""gng_number"">
        <div class=""cue-text""><img class = center src='/static/experiments/cued_task_switching_rdoc/images/2.png'></img></div>
      </div>
    </div>
  ",",",practice_trial,1500.0,,practice,0.0,1000.0,Even-Odd,2.0,parity,switch,switch,2.0,",",150.0,"[',', '.']",1.0,,,,,
20,,html-keyboard-response,20,53490,0.0-2.0-17.0,,<div class = fb_box><div class = center-text><font size =20 >Correct!</font></div></div>,,practice_feedback,500.0,,practice,,,,,,,,,,,,,,,,,
