,success,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,trial_id,trial_duration,view_history,exp_stage,block_num,stimulus_duration,cue,stim_number,task,task_condition,cue_condition,condition,current_trial,correct_response,CTI,choices,correct_trial,ITIParams,current_question,current_key_answer,exp_id,attention_check_percent
0,True,fullscreen,0,4903,0.0-0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,,html-keyboard-response,1,5095,0.0-1.0-0.0,189.0,"<div class = centerbox><p class = center-block-text>
    
  <p class=""center-block-text"">
    Welcome! This experiment will take around 11 minutes.
  </p>
  <p class=""center-block-text"">
    To avoid technical issues, please keep the experiment tab (on Chrome or Firefox) active and fullscreen for the whole duration of each task.
  </p>
  <p class=""center-block-text""> Press <i>enter</i> to begin.</p>

    </p></div>",enter,instruction_feedback,180000.0,,,,,,,,,,,,,,,,,,,,
2,,instructions,2,8092,0.0-1.0-1.0,2996.0,,,instructions,,"[{'page_index': 0, 'viewing_time': 2494}, {'page_index': 1, 'viewing_time': 501}]",,,,,,,,,,,,,,,,,,,
3,,html-keyboard-response,3,9073,0.0-2.0-0.0,978.0,"<div class = bigbox><div class = picture_box><p class = block-text>
    <div class = centerbox><p class = center-block-text>Press <i>enter</i> to begin practice.</p></div>
    </font></p></div></div>",enter,practice_feedback,60000.0,,practice,0.0,,,,,,,,,,,,,,,,,
4,,call-function,4,9074,0.0-2.0-1.0,,,,set_stims,,,,,,,,,,,,,,,,,,,,,
5,,html-keyboard-response,5,9578,0.0-2.0-2.0,,<div class = upperbox><div class = fixation>+</div></div><div class = lowerbox><div class = fixation>+</div></div>,,practice_fixation,500.0,,practice,0.0,500.0,,,,,,,,,,,,,,,,
6,,html-keyboard-response,6,9732,0.0-2.0-3.0,,"
    <div class=""upperbox"">
      <div class=""center-text"" style=""color:white;"">Even-Odd</div>
    </div>
    <div class=""lowerbox"">
      <div class=""fixation"">+</div>
    </div>
  ",,practice_cue,150.0,,practice,0.0,150.0,Even-Odd,7.0,parity,na,na,task_na_cue_na,0.0,.,150.0,,,,,,,
7,,html-keyboard-response,7,11240,0.0-2.0-4.0,770.0,"
    <div class=""upperbox"">
      <div class=""center-text"" style=""color:white;"">Even-Odd</div>
    </div>
    <div class=""lowerbox"">
      <div class=""gng_number"">
        <div class=""cue-text""><img class = center src='/static/experiments/cued_task_switching_rdoc/images/7.png'></img></div>
      </div>
    </div>
  ",.,practice_trial,1500.0,,practice,0.0,1000.0,Even-Odd,7.0,parity,na,na,task_na_cue_na,0.0,.,150.0,"[',', '.']",1,,,,,
8,,html-keyboard-response,8,11744,0.0-2.0-5.0,,<div class = fb_box><div class = center-text><font size =20 >Correct!</font></div></div>,,practice_feedback,500.0,,practice,,,,,,,,,,,,,,,,,,
9,,html-keyboard-response,9,13486,0.0-2.0-6.0,,<div class = upperbox><div class = fixation>+</div></div><div class = lowerbox><div class = fixation>+</div></div>,,practice_ITI,1734.9465029748678,,practice,0.0,1734.9465029748678,,,,,,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,
