,success,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,trial_id,trial_duration,view_history,exp_stage,stimulus_duration,correct_response,condition,flanker,center_letter,choices,block_num,correct_trial,ITIParams,current_question,current_key_answer,current_block,exp_id,attention_check_percent
0,True,fullscreen,0,1676,0.0-0.0,,,,,,,,,,,,,,,,,,,,,
1,,html-keyboard-response,1,1868,0.0-1.0-0.0,189.0,"<div class = centerbox><p class = center-block-text>
    
  <p class=""center-block-text"">
    Welcome! This experiment will take around 7 minutes.
  </p>
  <p class=""center-block-text"">
    To avoid technical issues, please keep the experiment tab (on Chrome or Firefox) active and in fullscreen mode for the whole duration of each task.
  </p>
  <p class=""center-block-text""> Press <i>enter</i> to begin.</p>

    </p></div>",enter,instruction_feedback,180000.0,,,,,,,,,,,,,,,,
2,,instructions,2,3656,0.0-1.0-1.0,1787.0,,,instructions,,"[{'page_index': 0, 'viewing_time': 1786}]",,,,,,,,,,,,,,,
3,,html-keyboard-response,3,4524,0.0-2.0-0.0,866.0,"<div class = bigbox><div class = picture_box><p class = block-text>
    <div class = centerbox><p class = center-block-text>Press <i>enter</i> to begin practice.</p></div>
    </font></p></div></div>",enter,practice_feedback,60000.0,,practice,,,,,,,,,,,,,,
4,,html-keyboard-response,4,6030,0.0-2.0-1.0,,<div class = centerbox><div class = fixation>+</div></div>,,practice_fixation,500.0,,practice,500.0,,,,,,,,,,,,,
5,,html-keyboard-response,5,7538,0.0-2.0-2.0,703.0,"<div class = bigbox><div class = centerbox><div class = flankerLeft_2><div class = cue-text><img class = center src=""/static/experiments/flanker_rdoc/images/F.png""></img></div></div><div class = flankerLeft_1><div class = cue-text><img class = center src=""/static/experiments/flanker_rdoc/images/F.png""></img></div></div><div class = flankerMiddle><div class = cue-text><img class = center src=""/static/experiments/flanker_rdoc/images/F.png""></img></div></div><div class = flankerRight_1><div class = cue-text><img class = center src=""/static/experiments/flanker_rdoc/images/F.png""></img></div></div><div class = flankerRight_2><div class = cue-text><img class = center src=""/static/experiments/flanker_rdoc/images/F.png""></img></div></div></div></div>",.,practice_trial,1500.0,,practice,1000.0,.,congruent,F,F,"[',', '.']",0.0,1,,,,,,
6,,html-keyboard-response,6,8044,0.0-2.0-3.0,,<div class = fb_box><div class = center-text><font size =20>Correct!</font></div></div>,,practice_feedback,500.0,,practice,500.0,,,,,,,,,,,,,
7,,html-keyboard-response,7,8447,0.0-2.0-4.0,,<div class = centerbox><div class = fixation>+</div></div>,,practice_ITI,400.5777627130834,,practice,400.5777627130834,,,,,,0.0,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,,
8,,html-keyboard-response,8,8951,0.0-2.0-5.0,,<div class = centerbox><div class = fixation>+</div></div>,,practice_fixation,500.0,,practice,500.0,,,,,,,,,,,,,
9,,html-keyboard-response,9,10458,0.0-2.0-6.0,472.0,"<div class = bigbox><div class = centerbox><div class = flankerLeft_2><div class = cue-text><img class = center src=""/static/experiments/flanker_rdoc/images/H.png""></img></div></div><div class = flankerLeft_1><div class = cue-text><img class = center src=""/static/experiments/flanker_rdoc/images/H.png""></img></div></div><div class = flankerMiddle><div class = cue-text><img class = center src=""/static/experiments/flanker_rdoc/images/H.png""></img></div></div><div class = flankerRight_1><div class = cue-text><img class = center src=""/static/experiments/flanker_rdoc/images/H.png""></img></div></div><div class = flankerRight_2><div class = cue-text><img class = center src=""/static/experiments/flanker_rdoc/images/H.png""></img></div></div></div></div>",",",practice_trial,1500.0,,practice,1000.0,",",congruent,H,H,"[',', '.']",0.0,1,,,,,,
10,,html-keyboard-response,10,10964,0.0-2.0-7.0,,<div class = fb_box><div class = center-text><font size =20>Correct!</font></div></div>,,practice_feedback,500.0,,practice,500.0,,,,,,,,,,,,,
11,,html-keyboard-response,11,11314,0.0-2.0-8.0,,<div class = centerbox><div class = fixation>+</div></div>,,practice_ITI,344.1343169109893,,practice,344.1343169109893,,,,,,0.0,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,,
12,,html-keyboard-response,12,11819,0.0-2.0-9.0,,<div class = centerbox><div class = fixation>+</div></div>,,practice_fixation,500.0,,practice,500.0,,,,,,,,,,,,,
13,,html-keyboard-response,13,13326,0.0-2.0-10.0,665.0,"<div class = bigbox><div class = centerbox><div class = flankerLeft_2><div class = cue-text><img class = center src=""/static/experiments/flanker_rdoc/images/F.png""></img></div></div><div class = flankerLeft_1><div class = cue-text><img class = center src=""/static/experiments/flanker_rdoc/images/F.png""></img></div></div><div class = flankerMiddle><div class = cue-text><img class = center src=""/static/experiments/flanker_rdoc/images/H.png""></img></div></div><div class = flankerRight_1><div class = cue-text><img class = center src=""/static/experiments/flanker_rdoc/images/F.png""></img></div></div><div class = flankerRight_2><div class = cue-text><img class = center src=""/static/experiments/flanker_rdoc/images/F.png""></img></div></div></div></div>",",",practice_trial,1500.0,,practice,1000.0,",",incongruent,F,H,"[',', '.']",0.0,1,,,,,,
14,,html-keyboard-response,14,13829,0.0-2.0-11.0,,<div class = fb_box><div class = center-text><font size =20>Correct!</font></div></div>,,practice_feedback,500.0,,practice,500.0,,,,,,,,,,,,,
15,,html-keyboard-response,15,14348,0.0-2.0-12.0,,<div class = centerbox><div class = fixation>+</div></div>,,practice_ITI,513.0083044865601,,practice,513.0083044865601,,,,,,0.0,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,,
16,,html-keyboard-response,16,14853,0.0-2.0-13.0,,<div class = centerbox><div class = fixation>+</div></div>,,practice_fixation,500.0,,practice,500.0,,,,,,,,,,,,,
17,,html-keyboard-response,17,16360,0.0-2.0-14.0,570.0,"<div class = bigbox><div class = centerbox><div class = flankerLeft_2><div class = cue-text><img class = center src=""/static/experiments/flanker_rdoc/images/H.png""></img></div></div><div class = flankerLeft_1><div class = cue-text><img class = center src=""/static/experiments/flanker_rdoc/images/H.png""></img></div></div><div class = flankerMiddle><div class = cue-text><img class = center src=""/static/experiments/flanker_rdoc/images/F.png""></img></div></div><div class = flankerRight_1><div class = cue-text><img class = center src=""/static/experiments/flanker_rdoc/images/H.png""></img></div></div><div class = flankerRight_2><div class = cue-text><img class = center src=""/static/experiments/flanker_rdoc/images/H.png""></img></div></div></div></div>",.,practice_trial,1500.0,,practice,1000.0,.,incongruent,H,F,"[',', '.']",0.0,1,,,,,,
18,,html-keyboard-response,18,16864,0.0-2.0-15.0,,<div class = fb_box><div class = center-text><font size =20>Correct!</font></div></div>,,practice_feedback,500.0,,practice,500.0,,,,,,,,,,,,,
19,,html-keyboard-response,19,17281,0.0-2.0-16.0,,<div class = centerbox><div class = fixation>+</div></div>,,practice_ITI,415.19315977696505,,practice,415.19315977696505,,,,,,0.0,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,,
20,,html-keyboard-response,20,17936,0.0-3.0-0.0,653.0,"<div class = bigbox><div class = picture_box><p class = block-text>
     <div class=""centerbox"">
        <p class=""center-block-text"">We will now start the test portion.</p>
        <p class=""block-text"">Keep your <b>index finger</b> on the <b>comma key (,)</b> and your <b>middle finger</b> on the <b>period key (.)</b></p>
        <p class=""block-text"">Press <i>enter</i> to continue.</p>
      </div>
    </font></p></div></div>",enter,test_feedback,60000.0,,test,,,,,,,,,,,,,,
21,,html-keyboard-response,21,21196,0.0-3.0-1.0-0.0,2252.0,,x,test_attention_check,,,test,,,,,,,0.0,True,,<p class='block-text'>Press the key for the third to last letter of the English alphabet.</p> <div class=block-text>This screen will advance automatically in 1 minute.</div>,88.0,,,
22,,html-keyboard-response,22,21700,0.0-3.0-2.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_fixation,500.0,,test,500.0,,,,,,,,,,,,,
23,,html-keyboard-response,23,23207,0.0-3.0-3.0,632.0,"<div class = bigbox><div class = centerbox><div class = flankerLeft_2><div class = cue-text><img class = center src=""/static/experiments/flanker_rdoc/images/F.png""></img></div></div><div class = flankerLeft_1><div class = cue-text><img class = center src=""/static/experiments/flanker_rdoc/images/F.png""></img></div></div><div class = flankerMiddle><div class = cue-text><img class = center src=""/static/experiments/flanker_rdoc/images/H.png""></img></div></div><div class = flankerRight_1><div class = cue-text><img class = center src=""/static/experiments/flanker_rdoc/images/F.png""></img></div></div><div class = flankerRight_2><div class = cue-text><img class = center src=""/static/experiments/flanker_rdoc/images/F.png""></img></div></div></div></div>",",",test_trial,1000.0,,test,1500.0,",",incongruent,F,H,"[',', '.']",0.0,1,,,,0.0,,
24,,html-keyboard-response,24,23222,0.0-3.0-4.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,13.870821987356209,,test,13.870821987356209,,,,,,0.0,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,,
25,,html-keyboard-response,25,23726,0.0-3.0-5.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_fixation,500.0,,test,500.0,,,,,,,,,,,,,
