,success,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,trial_id,trial_duration,view_history,exp_stage,block_num,stimulus_duration,choices,condition,probe,correct_response,delay,letter_case,correct_trial,ITIParams,current_question,current_key_answer,exp_id,attention_check_percent
0,True,fullscreen,0,2062,0.0-0.0,,,,,,,,,,,,,,,,,,,,,
1,,html-keyboard-response,1,2260,0.0-1.0-0.0,195.0,"<div class = centerbox><p class = center-block-text>
    
  <p class=""center-block-text"">
    Welcome! This experiment will take around 10 minutes.
  </p>
  <p class=""center-block-text"">
    To avoid technical issues, please keep the experiment tab (on Chrome or Firefox) active and in fullscreen mode for the whole duration of each task.
  </p>
  <p class=""center-block-text""> Press <i>enter</i> to begin.</p>

    </p></div>",enter,instruction_feedback,180000.0,,,,,,,,,,,,,,,,
2,,instructions,2,3482,0.0-1.0-1.0,1221.0,,,instructions,,"[{'page_index': 0, 'viewing_time': 1018}, {'page_index': 1, 'viewing_time': 202}]",,,,,,,,,,,,,,,
3,,html-keyboard-response,3,4012,0.0-2.0-0.0,527.0,"<div class = bigbox><div class = picture_box><p class = block-text>
    <div class = centerbox><p class = center-block-text>Press <i>enter</i> to begin practice.</p></div>
    </font></p></div></div>",enter,practice_feedback,60000.0,,practice,0.0,,,,,,,,,,,,,
4,,html-keyboard-response,4,4515,0.0-2.0-1.0,,<div class = centerbox><div class = fixation>+</div></div>,,practice_fixation,500.0,,practice,0.0,500.0,,,,,,,,,,,,
5,,html-keyboard-response,5,6021,0.0-2.0-2.0,451.0,<div class = bigbox><div class = centerbox><div class = gng_number><div class = cue-text><img class = center src='/static/experiments/n_back_rdoc/images/lowercase_G.png'></img></div></div></div></div>,",",practice_trial,1500.0,,practice,0.0,1000.0,"['.', ',']",N/A,g,",",1.0,lowercase,1,,,,,
6,,html-keyboard-response,6,6526,0.0-2.0-3.0,,<div class = fb_box><div class = center-text><font size =20>Correct!</font></div></div>,,practice_feedback,500.0,,practice,,500.0,,,,,,,,,,,,
7,,html-keyboard-response,7,6692,0.0-2.0-4.0,,<div class = centerbox><div class = fixation>+</div></div>,,practice_ITI,160.50820444010006,,practice,0.0,160.50820444010006,,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,
8,,html-keyboard-response,8,7196,0.0-2.0-5.0,,<div class = centerbox><div class = fixation>+</div></div>,,practice_fixation,500.0,,practice,0.0,500.0,,,,,,,,,,,,
9,,html-keyboard-response,9,8704,0.0-2.0-6.0,625.0,<div class = bigbox><div class = centerbox><div class = gng_number><div class = cue-text><img class = center src='/static/experiments/n_back_rdoc/images/lowercase_D.png'></img></div></div></div></div>,",",practice_trial,1500.0,,practice,0.0,1000.0,"['.', ',']",mismatch,d,",",1.0,lowercase,1,,,,,
10,,html-keyboard-response,10,9207,0.0-2.0-7.0,,<div class = fb_box><div class = center-text><font size =20>Correct!</font></div></div>,,practice_feedback,500.0,,practice,,500.0,,,,,,,,,,,,
11,,html-keyboard-response,11,9474,0.0-2.0-8.0,,<div class = centerbox><div class = fixation>+</div></div>,,practice_ITI,261.7744382922539,,practice,0.0,261.7744382922539,,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,
12,,html-keyboard-response,12,9977,0.0-2.0-9.0,,<div class = centerbox><div class = fixation>+</div></div>,,practice_fixation,500.0,,practice,0.0,500.0,,,,,,,,,,,,
13,,html-keyboard-response,13,11485,0.0-2.0-10.0,473.0,<div class = bigbox><div class = centerbox><div class = gng_number><div class = cue-text><img class = center src='/static/experiments/n_back_rdoc/images/uppercase_V.png'></img></div></div></div></div>,",",practice_trial,1500.0,,practice,0.0,1000.0,"['.', ',']",mismatch,V,",",1.0,uppercase,1,,,,,
14,,html-keyboard-response,14,11988,0.0-2.0-11.0,,<div class = fb_box><div class = center-text><font size =20>Correct!</font></div></div>,,practice_feedback,500.0,,practice,,500.0,,,,,,,,,,,,
