,success,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,trial_id,trial_duration,view_history,exp_stage,block_num,condition,choices,stimulus_duration,correct_spatial_judgement_key,num_block,spatial_location,correct_trial,spatial_sequence,rt_each_spatial_location_response_grid,rt_total_response_grid,ITIParams,current_question,current_key_answer,exp_id,attention_check_percent
0,True,fullscreen,0,1738,0.0-0.0,,,,,,,,,,,,,,,,,,,,,,,
1,,html-keyboard-response,1,1869,0.0-1.0-0.0,128.0,"<div class = centerbox><p class = center-block-text>
    
  <p class=""center-block-text"">
    Welcome! This experiment will take around 24 minutes.
  </p>
  <p class=""center-block-text"">
    To avoid technical issues, please keep the experiment tab (on Chrome or Firefox) active and in fullscreen mode for the whole duration of each task.
  </p>
  <p class=""center-block-text""> Press <i>enter</i> to begin.</p>

    </p></div>",enter,instruction_feedback,180000.0,,,,,,,,,,,,,,,,,,
2,,instructions,2,3380,0.0-1.0-1.0,1510.0,,,instructions,,"[{'page_index': 0, 'viewing_time': 1104}, {'page_index': 1, 'viewing_time': 405}]",,,,,,,,,,,,,,,,,
3,,html-keyboard-response,3,3940,0.0-2.0-0.0,558.0,"<div class = bigbox><div class = picture_box><p class = block-text>
    <div class = centerbox><p class = center-block-text>Press <i>enter</i> to begin practice.</p></div>
    </font></p></div></div>",enter,practice_feedback,60000.0,,practice,0.0,,,,,,,,,,,,,,,
4,,html-keyboard-response,4,6948,0.0-2.0-1.0-0.0,,<div class = centerbox><div class = fixation>****</div></div>,,practice_inter-stimulus,3000.0,,practice,0.0,simple,,3000.0,,0.0,,,,,,,,,,
5,,html-keyboard-response,5,7956,0.0-2.0-2.0,,"<div class=""container""><div class=""box""></div><div class=""box""></div><div class=""box active-box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div></div>",,practice_stim,1000.0,,practice,0.0,simple,,1000.0,,0.0,2.0,,,,,,,,,
6,,html-keyboard-response,6,10963,0.0-2.0-3.0-0.0,,<div class = centerbox><div class = fixation>****</div></div>,,practice_inter-stimulus,3000.0,,practice,0.0,simple,,3000.0,,0.0,,,,,,,,,,
7,,html-keyboard-response,7,11966,0.0-2.0-4.0,,"<div class=""container""><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box active-box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div></div>",,practice_stim,1000.0,,practice,0.0,simple,,1000.0,,0.0,8.0,,,,,,,,,
8,,html-keyboard-response,8,14968,0.0-2.0-5.0-0.0,,<div class = centerbox><div class = fixation>****</div></div>,,practice_inter-stimulus,3000.0,,practice,0.0,simple,,3000.0,,0.0,,,,,,,,,,
9,,html-keyboard-response,9,15970,0.0-2.0-6.0,,"<div class=""container""><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box active-box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div></div>",,practice_stim,1000.0,,practice,0.0,simple,,1000.0,,0.0,11.0,,,,,,,,,
10,,html-keyboard-response,10,18977,0.0-2.0-7.0-0.0,,<div class = centerbox><div class = fixation>****</div></div>,,practice_inter-stimulus,3000.0,,practice,0.0,simple,,3000.0,,0.0,,,,,,,,,,
11,,html-keyboard-response,11,19978,0.0-2.0-8.0,,"<div class=""container""><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box active-box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div></div>",,practice_stim,1000.0,,practice,0.0,simple,,1000.0,,0.0,11.0,,,,,,,,,
