,success,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,trial_id,trial_duration,view_history,exp_stage,block_num,stimulus_duration,condition,stim_color,stim_word,correct_response,choices,correct_trial,ITIParams,attention_check_question,current_key_answer,exp_id,attention_check_percent
0,True,fullscreen,0,2532,0.0-0.0,,,,,,,,,,,,,,,,,,,,
1,,html-keyboard-response,1,2805,0.0-1.0-0.0,270.0,"<div class = centerbox><p class = center-block-text>
    
  <p class=""center-block-text"">
    Welcome! This experiment will take around 7 minutes.
  </p>
  <p class=""center-block-text"">
    To avoid technical issues, please keep the experiment tab (on Chrome or Firefox) active and in fullscreen mode for the whole duration of each task.
  </p>
  <p class=""center-block-text""> Press <i>enter</i> to begin.</p>

    </p></div>",enter,instruction_feedback,180000.0,,,,,,,,,,,,,,,
2,,instructions,2,27432,0.0-1.0-1.0,24625.0,,,instructions,,"[{'page_index': 0, 'viewing_time': 22900}, {'page_index': 1, 'viewing_time': 1724}]",,,,,,,,,,,,,,
3,,html-keyboard-response,3,30129,0.0-2.0-0.0,2695.0,"<div class = bigbox><div class = picture_box><p class = block-text>
    <div class = centerbox><p class = center-block-text>Press <i>enter</i> to begin practice.</p></div>
    </font></p></div></div>",enter,practice_feedback,60000.0,,practice,0.0,,,,,,,,,,,,
4,,html-keyboard-response,4,31637,0.0-2.0-1.0,,"<div class=""centerbox""><div class=""fixation"">+</div></div>",,practice_fixation,500.0,,practice,0.0,500.0,,,,,,,,,,,
5,,html-keyboard-response,5,33144,0.0-2.0-2.0,525.0,"<div class = centerbox><div class = stroop-stim style = ""color:#70FF70"">green</div></div>",/,practice_trial,1500.0,,practice,0.0,1000.0,congruent,green,green,/,"[',', '.', '/']",1.0,,,,,
6,,html-keyboard-response,6,33647,0.0-2.0-3.0,,<div class = fb_box><div class = center-text><font size =20>Correct!</font></div></div>,,practice_feedback,500.0,,practice,0.0,500.0,,,,,,,,,,,
7,,html-keyboard-response,7,35371,0.0-2.0-4.0,,<div class = centerbox><div class = fixation>+</div></div>,,practice_ITI,1719.2295656556603,,practice,0.0,1719.2295656556603,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,
8,,html-keyboard-response,8,35873,0.0-2.0-5.0,,"<div class=""centerbox""><div class=""fixation"">+</div></div>",,practice_fixation,500.0,,practice,0.0,500.0,,,,,,,,,,,
9,,html-keyboard-response,9,37381,0.0-2.0-6.0,664.0,"<div class = centerbox><div class = stroop-stim style = ""color:#70FF70"">red</div></div>",/,practice_trial,1500.0,,practice,0.0,1000.0,incongruent,green,red,/,"[',', '.', '/']",1.0,,,,,
