,success,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,trial_id,trial_duration,view_history,exp_stage,block_num,stimulus_duration,condition,stim_color,stim_word,correct_response,choices,correct_trial,ITIParams,current_question,current_key_answer,exp_id,attention_check_percent
0,True,fullscreen,0,2592,0.0-0.0,,,,,,,,,,,,,,,,,,,,
1,,html-keyboard-response,1,2753,0.0-1.0-0.0,158.0,"<div class = centerbox><p class = center-block-text>
    
  <p class=""center-block-text"">
    Welcome! This experiment will take around 7 minutes.
  </p>
  <p class=""center-block-text"">
    To avoid technical issues, please keep the experiment tab (on Chrome or Firefox) active and in fullscreen mode for the whole duration of each task.
  </p>
  <p class=""center-block-text""> Press <i>enter</i> to begin.</p>

    </p></div>",enter,instruction_feedback,180000.0,,,,,,,,,,,,,,,
2,,instructions,2,4277,0.0-1.0-1.0,1522.0,,,instructions,,"[{'page_index': 0, 'viewing_time': 1158}, {'page_index': 1, 'viewing_time': 363}]",,,,,,,,,,,,,,
3,,html-keyboard-response,3,4858,0.0-2.0-0.0,580.0,"<div class = bigbox><div class = picture_box><p class = block-text>
    <div class = centerbox><p class = center-block-text>Press <i>enter</i> to begin practice.</p></div>
    </font></p></div></div>",enter,practice_feedback,60000.0,,practice,0.0,,,,,,,,,,,,
4,,html-keyboard-response,4,6370,0.0-2.0-1.0,,"<div class=""centerbox""><div class=""fixation"">+</div></div>",,practice_fixation,500.0,,practice,0.0,500.0,,,,,,,,,,,
5,,html-keyboard-response,5,7875,0.0-2.0-2.0,1111.0,"<div class = centerbox><div class = stroop-stim style = ""color:#70FF70"">green</div></div>",/,practice_trial,1500.0,,practice,0.0,1000.0,congruent,green,green,/,"['.', ',', '/']",1,,,,,
6,,html-keyboard-response,6,8382,0.0-2.0-3.0,,<div class = fb_box><div class = center-text><font size =20>Correct!</font></div></div>,,practice_feedback,500.0,,practice,0.0,500.0,,,,,,,,,,,
7,,html-keyboard-response,7,8574,0.0-2.0-4.0,,<div class = centerbox><div class = fixation>+</div></div>,,practice_ITI,190.8252003885666,,practice,0.0,190.8252003885666,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,
8,,html-keyboard-response,8,9078,0.0-2.0-5.0,,"<div class=""centerbox""><div class=""fixation"">+</div></div>",,practice_fixation,500.0,,practice,0.0,500.0,,,,,,,,,,,
9,,html-keyboard-response,9,10581,0.0-2.0-6.0,533.0,"<div class = centerbox><div class = stroop-stim style = ""color:#FF7070"">blue</div></div>",.,practice_trial,1500.0,,practice,0.0,1000.0,incongruent,red,blue,.,"['.', ',', '/']",1,,,,,
10,,html-keyboard-response,10,11086,0.0-2.0-7.0,,<div class = fb_box><div class = center-text><font size =20>Correct!</font></div></div>,,practice_feedback,500.0,,practice,0.0,500.0,,,,,,,,,,,
11,,html-keyboard-response,11,11816,0.0-2.0-8.0,,<div class = centerbox><div class = fixation>+</div></div>,,practice_ITI,724.0242000911693,,practice,0.0,724.0242000911693,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,
12,,html-keyboard-response,12,12318,0.0-2.0-9.0,,"<div class=""centerbox""><div class=""fixation"">+</div></div>",,practice_fixation,500.0,,practice,0.0,500.0,,,,,,,,,,,
13,,html-keyboard-response,13,13824,0.0-2.0-10.0,502.0,"<div class = centerbox><div class = stroop-stim style = ""color:#70FF70"">red</div></div>",/,practice_trial,1500.0,,practice,0.0,1000.0,incongruent,green,red,/,"['.', ',', '/']",1,,,,,
14,,html-keyboard-response,14,14328,0.0-2.0-11.0,,<div class = fb_box><div class = center-text><font size =20>Correct!</font></div></div>,,practice_feedback,500.0,,practice,0.0,500.0,,,,,,,,,,,
15,,html-keyboard-response,15,14717,0.0-2.0-12.0,,<div class = centerbox><div class = fixation>+</div></div>,,practice_ITI,385.662796088281,,practice,0.0,385.662796088281,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,
16,,html-keyboard-response,16,15223,0.0-2.0-13.0,,"<div class=""centerbox""><div class=""fixation"">+</div></div>",,practice_fixation,500.0,,practice,0.0,500.0,,,,,,,,,,,
17,,html-keyboard-response,17,16730,0.0-2.0-14.0,583.0,"<div class = centerbox><div class = stroop-stim style = ""color:#FF7070"">red</div></div>",.,practice_trial,1500.0,,practice,0.0,1000.0,congruent,red,red,.,"['.', ',', '/']",1,,,,,
18,,html-keyboard-response,18,17235,0.0-2.0-15.0,,<div class = fb_box><div class = center-text><font size =20>Correct!</font></div></div>,,practice_feedback,500.0,,practice,0.0,500.0,,,,,,,,,,,
19,,html-keyboard-response,19,17502,0.0-2.0-16.0,,<div class = centerbox><div class = fixation>+</div></div>,,practice_ITI,260.618866450654,,practice,0.0,260.618866450654,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,
20,,html-keyboard-response,20,19898,0.0-3.0-0.0,2394.0,"<div class = bigbox><div class = picture_box><p class = block-text>
    
      <div class=""centerbox"">
        <p class=""center-block-text"">We will now start the test portion.</p>
        <p class=""block-text"">Keep your <b>middle finger</b> on the <b>period key (.)</b>, your <b>index finger</b> on the <b>comma key (,)</b>, and your <b>ring finger</b> on the <b>period key (.)</b></p>
        <p class=""block-text"">Press <i>enter</i> to continue.</p>
      </div>
    </font></p></div></div>",enter,test_feedback,60000.0,,test,0.0,,,,,,,,,,,,
21,,html-keyboard-response,21,21898,0.0-3.0-1.0-0.0,992.0,,k,test_attention_check,,,test,0.0,,,,,,,False,,<p class='block-text'>Press the key for the third letter of the English alphabet.</p> <div class=block-text>This screen will advance automatically in 1 minute.</div>,67.0,,
22,,html-keyboard-response,22,22401,0.0-3.0-2.0,,"<div class=""centerbox""><div class=""fixation"">+</div></div>",,test_fixation,500.0,,test,0.0,500.0,,,,,,,,,,,
23,,html-keyboard-response,23,23907,0.0-3.0-3.0,623.0,"<div class = centerbox><div class = stroop-stim style = ""color:#70FF70"">green</div></div>",/,test_trial,1500.0,,test,0.0,1000.0,congruent,green,green,/,"['.', ',', '/']",1,,,,,
24,,html-keyboard-response,24,24255,0.0-3.0-4.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,341.68832452602356,,test,0.0,341.68832452602356,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,
25,,html-keyboard-response,25,24759,0.0-3.0-5.0,,"<div class=""centerbox""><div class=""fixation"">+</div></div>",,test_fixation,500.0,,test,0.0,500.0,,,,,,,,,,,
26,,html-keyboard-response,26,26263,0.0-3.0-6.0,,"<div class = centerbox><div class = stroop-stim style = ""color:#7070FF"">green</div></div>",,test_trial,1500.0,,test,0.0,1000.0,incongruent,blue,green,",","['.', ',', '/']",0,,,,,
27,,html-keyboard-response,27,26637,0.0-3.0-7.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,369.59767301571594,,test,0.0,369.59767301571594,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,
28,,html-keyboard-response,28,27142,0.0-3.0-8.0,,"<div class=""centerbox""><div class=""fixation"">+</div></div>",,test_fixation,500.0,,test,0.0,500.0,,,,,,,,,,,
29,,html-keyboard-response,29,28646,0.0-3.0-9.0,,"<div class = centerbox><div class = stroop-stim style = ""color:#70FF70"">blue</div></div>",,test_trial,1500.0,,test,0.0,1000.0,incongruent,green,blue,/,"['.', ',', '/']",0,,,,,
30,,html-keyboard-response,30,28957,0.0-3.0-10.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,309.9158610621207,,test,0.0,309.9158610621207,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,
31,,html-keyboard-response,31,29461,0.0-3.0-11.0,,"<div class=""centerbox""><div class=""fixation"">+</div></div>",,test_fixation,500.0,,test,0.0,500.0,,,,,,,,,,,
32,,html-keyboard-response,32,30966,0.0-3.0-12.0,,"<div class = centerbox><div class = stroop-stim style = ""color:#70FF70"">green</div></div>",,test_trial,1500.0,,test,0.0,1000.0,congruent,green,green,/,"['.', ',', '/']",0,,,,,
33,,html-keyboard-response,33,31235,0.0-3.0-13.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,265.406940300177,,test,0.0,265.406940300177,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,
34,,html-keyboard-response,34,31742,0.0-3.0-14.0,,"<div class=""centerbox""><div class=""fixation"">+</div></div>",,test_fixation,500.0,,test,0.0,500.0,,,,,,,,,,,
35,,html-keyboard-response,35,33249,0.0-3.0-15.0,405.0,"<div class = centerbox><div class = stroop-stim style = ""color:#FF7070"">blue</div></div>",.,test_trial,1500.0,,test,0.0,1000.0,incongruent,red,blue,.,"['.', ',', '/']",1,,,,,
36,,html-keyboard-response,36,33692,0.0-3.0-16.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,440.6100648952204,,test,0.0,440.6100648952204,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,
37,,html-keyboard-response,37,34198,0.0-3.0-17.0,,"<div class=""centerbox""><div class=""fixation"">+</div></div>",,test_fixation,500.0,,test,0.0,500.0,,,,,,,,,,,
38,,html-keyboard-response,38,35705,0.0-3.0-18.0,710.0,"<div class = centerbox><div class = stroop-stim style = ""color:#7070FF"">blue</div></div>",",",test_trial,1500.0,,test,0.0,1000.0,congruent,blue,blue,",","['.', ',', '/']",1,,,,,
39,,html-keyboard-response,39,35868,0.0-3.0-19.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,158.1013595292941,,test,0.0,158.1013595292941,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,
40,,html-keyboard-response,40,36374,0.0-3.0-20.0,,"<div class=""centerbox""><div class=""fixation"">+</div></div>",,test_fixation,500.0,,test,0.0,500.0,,,,,,,,,,,
41,,html-keyboard-response,41,37881,0.0-3.0-21.0,774.0,"<div class = centerbox><div class = stroop-stim style = ""color:#7070FF"">green</div></div>",",",test_trial,1500.0,,test,0.0,1000.0,incongruent,blue,green,",","['.', ',', '/']",1,,,,,
42,,html-keyboard-response,42,38612,0.0-3.0-22.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,729.6046893125812,,test,0.0,729.6046893125812,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,
43,,html-keyboard-response,43,39114,0.0-3.0-23.0,,"<div class=""centerbox""><div class=""fixation"">+</div></div>",,test_fixation,500.0,,test,0.0,500.0,,,,,,,,,,,
44,,html-keyboard-response,44,40620,0.0-3.0-24.0,,"<div class = centerbox><div class = stroop-stim style = ""color:#7070FF"">red</div></div>",,test_trial,1500.0,,test,0.0,1000.0,incongruent,blue,red,",","['.', ',', '/']",0,,,,,
45,,html-keyboard-response,45,40626,0.0-3.0-25.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,0.6957426173208016,,test,0.0,0.6957426173208016,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,
46,,html-keyboard-response,46,41132,0.0-3.0-26.0,,"<div class=""centerbox""><div class=""fixation"">+</div></div>",,test_fixation,500.0,,test,0.0,500.0,,,,,,,,,,,
47,,html-keyboard-response,47,42638,0.0-3.0-27.0,,"<div class = centerbox><div class = stroop-stim style = ""color:#FF7070"">red</div></div>",,test_trial,1500.0,,test,0.0,1000.0,congruent,red,red,.,"['.', ',', '/']",0,,,,,
