,success,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,trial_id,trial_duration,view_history,exp_stage,block_num,stimulus_duration,choices,target_present,num_stimuli,condition,correct_response,correct_trial,ITIParams,attention_check_question,current_key_answer,exp_id,attention_check_percent
0,True,fullscreen,0,1997,0.0-0.0,,,,,,,,,,,,,,,,,,,,
1,,html-keyboard-response,1,4201,0.0-1.0-0.0,2200.0,"<div class = centerbox><p class = center-block-text>
    
  <p class=""center-block-text"">
    Welcome! This experiment will take around 12 minutes.
  </p>
  <p class=""center-block-text"">
    To avoid technical issues, please keep the experiment tab (on Chrome or Firefox) active and in fullscreen mode for the whole duration of each task.
  </p>
  <p class=""center-block-text""> Press <i>enter</i> to begin.</p>

    </p></div>",enter,instruction_feedback,180000.0,,,,,,,,,,,,,,,
2,,instructions,2,18498,0.0-1.0-1.0,14292.0,,,instructions,,"[{'page_index': 0, 'viewing_time': 13216}, {'page_index': 1, 'viewing_time': 1076}]",,,,,,,,,,,,,,
3,,html-keyboard-response,3,20857,0.0-2.0-0.0,2356.0,"<div class = bigbox><div class = picture_box><p class = block-text>
    <div class = centerbox><p class = center-block-text>Press <i>enter</i> to begin practice.</p></div>
    </font></p></div></div>",enter,practice_feedback,60000.0,,practice,0.0,,,,,,,,,,,,
4,,html-keyboard-response,4,22362,0.0-2.0-1.0,,"<div class=""centerbox""><div class=""fixation"">+</div></div>",,practice_fixation,500.0,,practice,0.0,500.0,,,,,,,,,,,
5,,html-keyboard-response,5,24370,0.0-2.0-2.0,527.0,"<div class=""container"" style=""position: absolute; left: 50%; top: 50%; transform: translate(-50%, -50%); width: 1058.3999999999999px; height: 661.5px;""><div id=""black-distractor-element"" class=""box"" style=""position: absolute; left: 179.67999999999998px; top: 25.928571428571427px; width: 40px; height: 80px; background-color: black;""></div><div id=""black-distractor-element"" class=""box"" style=""position: absolute; left: 399.35999999999996px; top: 25.928571428571427px; width: 40px; height: 80px; background-color: black;""></div><div id=""black-distractor-element"" class=""box"" style=""position: absolute; left: 619.04px; top: 25.928571428571427px; width: 40px; height: 80px; background-color: black;""></div><div id=""black-distractor-element"" class=""box"" style=""position: absolute; left: 838.7199999999999px; top: 25.928571428571427px; width: 40px; height: 80px; background-color: black;""></div><div id=""black-distractor-element"" class=""box"" style=""position: absolute; left: 179.67999999999998px; top: 131.85714285714286px; width: 40px; height: 80px; background-color: black;""></div><div id=""black-distractor-element"" class=""box"" style=""position: absolute; left: 399.35999999999996px; top: 131.85714285714286px; width: 40px; height: 80px; background-color: black;""></div><div id=""black-distractor-element"" class=""box"" style=""position: absolute; left: 619.04px; top: 131.85714285714286px; width: 40px; height: 80px; background-color: black;""></div><div id=""black-distractor-element"" class=""box"" style=""position: absolute; left: 838.7199999999999px; top: 131.85714285714286px; width: 40px; height: 80px; background-color: black;""></div><div id=""black-distractor-element"" class=""box"" style=""position: absolute; left: 179.67999999999998px; top: 237.78571428571428px; width: 40px; height: 80px; background-color: black;""></div><div id=""black-distractor-element"" class=""box"" style=""position: absolute; left: 399.35999999999996px; top: 237.78571428571428px; width: 40px; height: 80px; background-color: black;""></div><div id=""black-distractor-element"" class=""box"" style=""position: absolute; left: 619.04px; top: 237.78571428571428px; width: 40px; height: 80px; background-color: black;""></div><div id=""black-distractor-element"" class=""box"" style=""position: absolute; left: 838.7199999999999px; top: 237.78571428571428px; width: 40px; height: 80px; background-color: black;""></div><div id=""black-distractor-element"" class=""box"" style=""position: absolute; left: 179.67999999999998px; top: 343.7142857142857px; width: 40px; height: 80px; background-color: black;""></div><div id=""black-distractor-element"" class=""box"" style=""position: absolute; left: 399.35999999999996px; top: 343.7142857142857px; width: 40px; height: 80px; background-color: black;""></div><div id=""black-distractor-element"" class=""box"" style=""position: absolute; left: 619.04px; top: 343.7142857142857px; width: 40px; height: 80px; background-color: black;""></div><div id=""black-distractor-element"" class=""box"" style=""position: absolute; left: 838.7199999999999px; top: 343.7142857142857px; width: 40px; height: 80px; background-color: black;""></div><div id=""black-distractor-element"" class=""box"" style=""position: absolute; left: 179.67999999999998px; top: 449.6428571428571px; width: 40px; height: 80px; background-color: black;""></div><div id=""black-distractor-element"" class=""box"" style=""position: absolute; left: 399.35999999999996px; top: 449.6428571428571px; width: 40px; height: 80px; background-color: black;""></div><div id=""black-distractor-element"" class=""box"" style=""position: absolute; left: 619.04px; top: 449.6428571428571px; width: 40px; height: 80px; background-color: black;""></div><div id=""black-distractor-element"" class=""box"" style=""position: absolute; left: 838.7199999999999px; top: 449.6428571428571px; width: 40px; height: 80px; background-color: black;""></div><div id=""black-distractor-element"" class=""box"" style=""position: absolute; left: 179.67999999999998px; top: 555.5714285714286px; width: 40px; height: 80px; background-color: black;""></div><div id=""black-distractor-element"" class=""box"" style=""position: absolute; left: 399.35999999999996px; top: 555.5714285714286px; width: 40px; height: 80px; background-color: black;""></div><div id=""black-distractor-element"" class=""box"" style=""position: absolute; left: 619.04px; top: 555.5714285714286px; width: 40px; height: 80px; background-color: black;""></div><div id=""black-distractor-element"" class=""box"" style=""position: absolute; left: 838.7199999999999px; top: 555.5714285714286px; width: 40px; height: 80px; background-color: black;""></div></div>",.,practice_trial,2000.0,,practice,0.0,1500.0,"[',', '.']",0.0,24.0,feature,.,1.0,,,,,
6,,html-keyboard-response,6,24874,0.0-2.0-3.0,,<div class = centerbox><p class = center-block-text>Correct!</div></div>,,practice_feedback,500.0,,practice,0.0,500.0,,,,,,,,,,,
7,,html-keyboard-response,7,25691,0.0-2.0-4.0,,<div class = centerbox><div class = fixation>+</div></div>,,practice_ITI,814.359253715236,,practice,0.0,814.359253715236,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,
8,,html-keyboard-response,8,26195,0.0-2.0-5.0,,"<div class=""centerbox""><div class=""fixation"">+</div></div>",,practice_fixation,500.0,,practice,0.0,500.0,,,,,,,,,,,
9,,html-keyboard-response,9,28199,0.0-2.0-6.0,539.0,"<div class=""container"" style=""position: absolute; left: 50%; top: 50%; transform: translate(-50%, -50%); width: 1058.3999999999999px; height: 661.5px;""><div id=""black-distractor-element"" class=""box"" style=""position: absolute; left: 179.67999999999998px; top: 25.928571428571427px; width: 40px; height: 80px; background-color: black;""></div><div id=""black-distractor-element"" class=""box"" style=""position: absolute; left: 399.35999999999996px; top: 25.928571428571427px; width: 40px; height: 80px; background-color: black;""></div><div id=""black-distractor-element"" class=""box"" style=""position: absolute; left: 619.04px; top: 25.928571428571427px; width: 40px; height: 80px; background-color: black;""></div><div id=""black-distractor-element"" class=""box"" style=""position: absolute; left: 838.7199999999999px; top: 25.928571428571427px; width: 40px; height: 80px; background-color: black;""></div><div id=""black-distractor-element"" class=""box"" style=""position: absolute; left: 179.67999999999998px; top: 131.85714285714286px; width: 40px; height: 80px; background-color: black;""></div><div id=""black-distractor-element"" class=""box"" style=""position: absolute; left: 399.35999999999996px; top: 131.85714285714286px; width: 40px; height: 80px; background-color: black;""></div><div id=""black-distractor-element"" class=""box"" style=""position: absolute; left: 619.04px; top: 131.85714285714286px; width: 40px; height: 80px; background-color: black;""></div><div id=""black-distractor-element"" class=""box"" style=""position: absolute; left: 838.7199999999999px; top: 131.85714285714286px; width: 40px; height: 80px; background-color: black;""></div><div id=""black-distractor-element"" class=""box"" style=""position: absolute; left: 179.67999999999998px; top: 237.78571428571428px; width: 40px; height: 80px; background-color: black;""></div><div id=""black-distractor-element"" class=""box"" style=""position: absolute; left: 399.35999999999996px; top: 237.78571428571428px; width: 40px; height: 80px; background-color: black;""></div><div id=""black-distractor-element"" class=""box"" style=""position: absolute; left: 619.04px; top: 237.78571428571428px; width: 40px; height: 80px; background-color: black;""></div><div id=""black-distractor-element"" class=""box"" style=""position: absolute; left: 838.7199999999999px; top: 237.78571428571428px; width: 40px; height: 80px; background-color: black;""></div><div id=""black-distractor-element"" class=""box"" style=""position: absolute; left: 179.67999999999998px; top: 343.7142857142857px; width: 40px; height: 80px; background-color: black;""></div><div id=""black-distractor-element"" class=""box"" style=""position: absolute; left: 399.35999999999996px; top: 343.7142857142857px; width: 40px; height: 80px; background-color: black;""></div><div id=""black-distractor-element"" class=""box"" style=""position: absolute; left: 619.04px; top: 343.7142857142857px; width: 40px; height: 80px; background-color: black;""></div><div id=""black-distractor-element"" class=""box"" style=""position: absolute; left: 838.7199999999999px; top: 343.7142857142857px; width: 40px; height: 80px; background-color: black;""></div><div id=""target"" class=""box"" style=""position: absolute; left: 179.67999999999998px; top: 449.6428571428571px; width: 40px; height: 80px; background-color: white;""></div><div id=""black-distractor-element"" class=""box"" style=""position: absolute; left: 399.35999999999996px; top: 449.6428571428571px; width: 40px; height: 80px; background-color: black;""></div><div id=""black-distractor-element"" class=""box"" style=""position: absolute; left: 619.04px; top: 449.6428571428571px; width: 40px; height: 80px; background-color: black;""></div><div id=""black-distractor-element"" class=""box"" style=""position: absolute; left: 838.7199999999999px; top: 449.6428571428571px; width: 40px; height: 80px; background-color: black;""></div><div id=""black-distractor-element"" class=""box"" style=""position: absolute; left: 179.67999999999998px; top: 555.5714285714286px; width: 40px; height: 80px; background-color: black;""></div><div id=""black-distractor-element"" class=""box"" style=""position: absolute; left: 399.35999999999996px; top: 555.5714285714286px; width: 40px; height: 80px; background-color: black;""></div><div id=""black-distractor-element"" class=""box"" style=""position: absolute; left: 619.04px; top: 555.5714285714286px; width: 40px; height: 80px; background-color: black;""></div><div id=""black-distractor-element"" class=""box"" style=""position: absolute; left: 838.7199999999999px; top: 555.5714285714286px; width: 40px; height: 80px; background-color: black;""></div></div>",",",practice_trial,2000.0,,practice,0.0,1500.0,"[',', '.']",1.0,24.0,feature,",",1.0,,,,,
