,success,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,trial_id,trial_duration,view_history,exp_stage,block_num,stimulus_duration,choices,target_present,num_stimuli,condition,correct_response,correct_trial,ITIParams,current_question,current_key_answer,exp_id,attention_check_percent
0,True,fullscreen,0,1694,0.0-0.0,,,,,,,,,,,,,,,,,,,,
1,,html-keyboard-response,1,1918,0.0-1.0-0.0,221.0,"<div class = centerbox><p class = center-block-text>
    
  <p class=""center-block-text"">
    Welcome! This experiment will take around 12 minutes.
  </p>
  <p class=""center-block-text"">
    To avoid technical issues, please keep the experiment tab (on Chrome or Firefox) active and in fullscreen mode for the whole duration of each task.
  </p>
  <p class=""center-block-text""> Press <i>enter</i> to begin.</p>

    </p></div>",enter,instruction_feedback,180000.0,,,,,,,,,,,,,,,
2,,instructions,2,4479,0.0-1.0-1.0,2561.0,,,instructions,,"[{'page_index': 0, 'viewing_time': 2252}, {'page_index': 1, 'viewing_time': 307}]",,,,,,,,,,,,,,
3,,html-keyboard-response,3,5484,0.0-2.0-0.0,1003.0,"<div class = bigbox><div class = picture_box><p class = block-text>
    <div class = centerbox><p class = center-block-text>Press <i>enter</i> to begin practice.</p></div>
    </font></p></div></div>",enter,practice_feedback,60000.0,,practice,0.0,,,,,,,,,,,,
4,,html-keyboard-response,4,6996,0.0-2.0-1.0,,"<div class=""centerbox""><div class=""fixation"">+</div></div>",,practice_fixation,500.0,,practice,0.0,500.0,,,,,,,,,,,
5,,html-keyboard-response,5,9001,0.0-2.0-2.0,672.0,"<div class=""container"" style=""position: absolute; left: 50%; top: 50%; transform: translate(-50%, -50%); width: 579.5999999999999px; height: 528.5px;""><div id=""black-distractor-element""  class=""box"" style=""position: absolute; left: 83.91999999999999px; top: 6.928571428571429px; width: 40px; height: 80px; background-color: black;""></div><div id=""white-distractor-element""  class=""box"" style=""position: absolute; left: 207.83999999999997px; top: 6.928571428571429px; width: 40px; height: 80px; background-color: white; transform: rotate(90deg); transform-origin: center;""></div><div id=""white-distractor-element""  class=""box"" style=""position: absolute; left: 331.76px; top: 6.928571428571429px; width: 40px; height: 80px; background-color: white; transform: rotate(90deg); transform-origin: center;""></div><div id=""white-distractor-element""  class=""box"" style=""position: absolute; left: 455.67999999999995px; top: 6.928571428571429px; width: 40px; height: 80px; background-color: white; transform: rotate(90deg); transform-origin: center;""></div><div id=""black-distractor-element""  class=""box"" style=""position: absolute; left: 83.91999999999999px; top: 93.85714285714286px; width: 40px; height: 80px; background-color: black;""></div><div id=""white-distractor-element""  class=""box"" style=""position: absolute; left: 207.83999999999997px; top: 93.85714285714286px; width: 40px; height: 80px; background-color: white; transform: rotate(90deg); transform-origin: center;""></div><div id=""black-distractor-element""  class=""box"" style=""position: absolute; left: 331.76px; top: 93.85714285714286px; width: 40px; height: 80px; background-color: black;""></div><div id=""black-distractor-element""  class=""box"" style=""position: absolute; left: 455.67999999999995px; top: 93.85714285714286px; width: 40px; height: 80px; background-color: black;""></div><div id=""white-distractor-element""  class=""box"" style=""position: absolute; left: 83.91999999999999px; top: 180.78571428571428px; width: 40px; height: 80px; background-color: white; transform: rotate(90deg); transform-origin: center;""></div><div id=""black-distractor-element""  class=""box"" style=""position: absolute; left: 207.83999999999997px; top: 180.78571428571428px; width: 40px; height: 80px; background-color: black;""></div><div id=""white-distractor-element""  class=""box"" style=""position: absolute; left: 331.76px; top: 180.78571428571428px; width: 40px; height: 80px; background-color: white; transform: rotate(90deg); transform-origin: center;""></div><div id=""black-distractor-element""  class=""box"" style=""position: absolute; left: 455.67999999999995px; top: 180.78571428571428px; width: 40px; height: 80px; background-color: black;""></div><div id=""black-distractor-element""  class=""box"" style=""position: absolute; left: 83.91999999999999px; top: 267.7142857142857px; width: 40px; height: 80px; background-color: black;""></div><div id=""black-distractor-element""  class=""box"" style=""position: absolute; left: 207.83999999999997px; top: 267.7142857142857px; width: 40px; height: 80px; background-color: black;""></div><div id=""black-distractor-element""  class=""box"" style=""position: absolute; left: 331.76px; top: 267.7142857142857px; width: 40px; height: 80px; background-color: black;""></div><div id=""black-distractor-element""  class=""box"" style=""position: absolute; left: 455.67999999999995px; top: 267.7142857142857px; width: 40px; height: 80px; background-color: black;""></div><div id=""black-distractor-element""  class=""box"" style=""position: absolute; left: 83.91999999999999px; top: 354.64285714285717px; width: 40px; height: 80px; background-color: black;""></div><div id=""black-distractor-element""  class=""box"" style=""position: absolute; left: 207.83999999999997px; top: 354.64285714285717px; width: 40px; height: 80px; background-color: black;""></div><div id=""white-distractor-element""  class=""box"" style=""position: absolute; left: 331.76px; top: 354.64285714285717px; width: 40px; height: 80px; background-color: white; transform: rotate(90deg); transform-origin: center;""></div><div id=""black-distractor-element""  class=""box"" style=""position: absolute; left: 455.67999999999995px; top: 354.64285714285717px; width: 40px; height: 80px; background-color: black;""></div><div id=""black-distractor-element""  class=""box"" style=""position: absolute; left: 83.91999999999999px; top: 441.57142857142856px; width: 40px; height: 80px; background-color: black;""></div><div id=""black-distractor-element""  class=""box"" style=""position: absolute; left: 207.83999999999997px; top: 441.57142857142856px; width: 40px; height: 80px; background-color: black;""></div><div id=""target"" class=""box"" style=""position: absolute; left: 331.76px; top: 441.57142857142856px; width: 40px; height: 80px; background-color: white;""></div><div id=""black-distractor-element""  class=""box"" style=""position: absolute; left: 455.67999999999995px; top: 441.57142857142856px; width: 40px; height: 80px; background-color: black;""></div></div>",.,practice_trial,2000.0,,practice,0.0,1500.0,"['.', ',']",1.0,24.0,conjunction,.,1,,,,,
6,,html-keyboard-response,6,9508,0.0-2.0-3.0,,<div class = centerbox><p class = center-block-text>Correct!</div></div>,,practice_feedback,500.0,,practice,0.0,500.0,,,,,,,,,,,
7,,html-keyboard-response,7,10084,0.0-2.0-4.0,,<div class = centerbox><div class = fixation>+</div></div>,,practice_ITI,569.1180026287394,,practice,0.0,569.1180026287394,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,
8,,html-keyboard-response,8,10590,0.0-2.0-5.0,,"<div class=""centerbox""><div class=""fixation"">+</div></div>",,practice_fixation,500.0,,practice,0.0,500.0,,,,,,,,,,,
9,,html-keyboard-response,9,12594,0.0-2.0-6.0,566.0,"<div class=""container"" style=""position: absolute; left: 50%; top: 50%; transform: translate(-50%, -50%); width: 579.5999999999999px; height: 528.5px;""><div id=""black-distractor-element"" class=""box"" style=""position: absolute; left: 166.5333333333333px; top: 41.7px; width: 40px; height: 80px; background-color: black;""></div><div id=""black-distractor-element"" class=""box"" style=""position: absolute; left: 373.0666666666666px; top: 41.7px; width: 40px; height: 80px; background-color: black;""></div><div id=""black-distractor-element"" class=""box"" style=""position: absolute; left: 166.5333333333333px; top: 163.4px; width: 40px; height: 80px; background-color: black;""></div><div id=""black-distractor-element"" class=""box"" style=""position: absolute; left: 373.0666666666666px; top: 163.4px; width: 40px; height: 80px; background-color: black;""></div><div id=""black-distractor-element"" class=""box"" style=""position: absolute; left: 166.5333333333333px; top: 285.1px; width: 40px; height: 80px; background-color: black;""></div><div id=""black-distractor-element"" class=""box"" style=""position: absolute; left: 373.0666666666666px; top: 285.1px; width: 40px; height: 80px; background-color: black;""></div><div id=""black-distractor-element"" class=""box"" style=""position: absolute; left: 166.5333333333333px; top: 406.8px; width: 40px; height: 80px; background-color: black;""></div><div id=""black-distractor-element"" class=""box"" style=""position: absolute; left: 373.0666666666666px; top: 406.8px; width: 40px; height: 80px; background-color: black;""></div></div>",",",practice_trial,2000.0,,practice,0.0,1500.0,"['.', ',']",0.0,8.0,feature,",",1,,,,,
