,success,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,trial_id,trial_duration,view_history,exp_stage,block_num,stimulus_duration,condition,choices,correct_response,correct_trial,ITIParams,attention_check_question,current_key_answer,exp_id,attention_check_percent
0,True,fullscreen,0,557108,0.0-0.0,,,,,,,,,,,,,,,,,,
1,,html-keyboard-response,1,559452,0.0-1.0-0.0,2341.0,"<div class = centerbox><p class = center-block-text>
    
  <p class=center-block-text>
    Welcome! This experiment will take around 17 minutes.
  </p>
  <p class=center-block-text>
    To avoid technical issues,
    please keep the experiment tab (on Chrome or Firefox)
    active and fullscreen for the whole duration of each task.
  </p>
  <p class=center-block-text> Press <i>enter</i> to begin.</p>

    </p></div>",enter,instruction_feedback,180000.0,,,,,,,,,,,,,
2,,instructions,2,578225,0.0-1.0-1.0,18772.0,,,instructions,,"[{'page_index': 0, 'viewing_time': 13234}, {'page_index': 1, 'viewing_time': 5537}]",,,,,,,,,,,,
3,,html-keyboard-response,3,579491,0.0-2.0-0.0,1263.0,"<div class = bigbox><div class = picture_box><p class = block-text>
    
  <div class = centerbox>
    <p class = center-block-text>Press <i>enter</i> to begin practice.</p>
  </div>

    </font></p></div></div>",enter,practice_feedback,60000.0,,practice,0.0,,,,,,,,,,
4,,call-function,4,580498,0.0-2.0-1.0,,,,,,,,,,,,,,,,,,
5,,html-keyboard-response,5,581002,0.0-2.0-2.0,,<div class = centerbox><div class = fixation>+</div></div>,,practice_fixation,500.0,,practice,0.0,500.0,,,,,,,,,
6,,html-keyboard-response,6,581506,0.0-2.0-3.0,,<div class = centerbox><div class = AX_text>A</div></div>,,practice_cue,500.0,,practice,0.0,500.0,AX,,,,,,,,
7,,html-keyboard-response,7,584513,0.0-2.0-4.0,,<div class = centerbox><div class = fixation>+</div></div>,,practice_inter-stimulus,3000.0,,practice,0.0,3000.0,,,,,,,,,
8,,html-keyboard-response,8,586021,0.0-2.0-5.0,415.0,<div class = centerbox><div class = AX_text>X</div></div>,",",practice_probe,1500.0,,practice,0.0,1000.0,AX,"[',', '.']",",",1.0,,,,,
9,,html-keyboard-response,9,586525,0.0-2.0-6.0,,<div class = fb_box><div class = center-text><font size =20>Correct!</font></div></div>,,practice_feedback,500.0,,practice,,,,,,,,,,,
10,,html-keyboard-response,10,587113,0.0-2.0-7.0,,<div class = centerbox><div class = fixation>+</div></div>,,practice_ITI,580.1858338968013,,practice,0.0,580.1858338968013,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,
11,,call-function,11,587114,0.0-2.0-8.0,,,,,,,,,,,,,,,,,,
12,,html-keyboard-response,12,587616,0.0-2.0-9.0,,<div class = centerbox><div class = fixation>+</div></div>,,practice_fixation,500.0,,practice,0.0,500.0,,,,,,,,,
13,,html-keyboard-response,13,588122,0.0-2.0-10.0,,<div class = centerbox><div class = AX_text>B</div></div>,,practice_cue,500.0,,practice,0.0,500.0,BY,,,,,,,,
14,,html-keyboard-response,14,591128,0.0-2.0-11.0,,<div class = centerbox><div class = fixation>+</div></div>,,practice_inter-stimulus,3000.0,,practice,0.0,3000.0,,,,,,,,,
15,,html-keyboard-response,15,592635,0.0-2.0-12.0,5.0,<div class = centerbox><div class = AX_text>P</div></div>,.,practice_probe,1500.0,,practice,0.0,1000.0,BY,"[',', '.']",.,1.0,,,,,
16,,html-keyboard-response,16,593139,0.0-2.0-13.0,,<div class = fb_box><div class = center-text><font size =20>Correct!</font></div></div>,,practice_feedback,500.0,,practice,,,,,,,,,,,
17,,html-keyboard-response,17,593849,0.0-2.0-14.0,,<div class = centerbox><div class = fixation>+</div></div>,,practice_ITI,703.0148617396745,,practice,0.0,703.0148617396745,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,
18,,call-function,18,593849,0.0-2.0-15.0,,,,,,,,,,,,,,,,,,
19,,html-keyboard-response,19,594353,0.0-2.0-16.0,,<div class = centerbox><div class = fixation>+</div></div>,,practice_fixation,500.0,,practice,0.0,500.0,,,,,,,,,
20,,html-keyboard-response,20,594858,0.0-2.0-17.0,,<div class = centerbox><div class = AX_text>A</div></div>,,practice_cue,500.0,,practice,0.0,500.0,AY,,,,,,,,
21,,html-keyboard-response,21,597864,0.0-2.0-18.0,,<div class = centerbox><div class = fixation>+</div></div>,,practice_inter-stimulus,3000.0,,practice,0.0,3000.0,,,,,,,,,
22,,html-keyboard-response,22,599367,0.0-2.0-19.0,413.0,<div class = centerbox><div class = AX_text>G</div></div>,.,practice_probe,1500.0,,practice,0.0,1000.0,AY,"[',', '.']",.,1.0,,,,,
23,,html-keyboard-response,23,599871,0.0-2.0-20.0,,<div class = fb_box><div class = center-text><font size =20>Correct!</font></div></div>,,practice_feedback,500.0,,practice,,,,,,,,,,,
24,,html-keyboard-response,24,599916,0.0-2.0-21.0,,<div class = centerbox><div class = fixation>+</div></div>,,practice_ITI,38.13635321624235,,practice,0.0,38.13635321624235,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,
25,,call-function,25,599917,0.0-2.0-22.0,,,,,,,,,,,,,,,,,,
26,,html-keyboard-response,26,600419,0.0-2.0-23.0,,<div class = centerbox><div class = fixation>+</div></div>,,practice_fixation,500.0,,practice,0.0,500.0,,,,,,,,,
27,,html-keyboard-response,27,600924,0.0-2.0-24.0,,<div class = centerbox><div class = AX_text>A</div></div>,,practice_cue,500.0,,practice,0.0,500.0,AX,,,,,,,,
28,,html-keyboard-response,28,603931,0.0-2.0-25.0,,<div class = centerbox><div class = fixation>+</div></div>,,practice_inter-stimulus,3000.0,,practice,0.0,3000.0,,,,,,,,,
29,,html-keyboard-response,29,605438,0.0-2.0-26.0,582.0,<div class = centerbox><div class = AX_text>X</div></div>,",",practice_probe,1500.0,,practice,0.0,1000.0,AX,"[',', '.']",",",1.0,,,,,
30,,html-keyboard-response,30,605941,0.0-2.0-27.0,,<div class = fb_box><div class = center-text><font size =20>Correct!</font></div></div>,,practice_feedback,500.0,,practice,,,,,,,,,,,
31,,html-keyboard-response,31,606145,0.0-2.0-28.0,,<div class = centerbox><div class = fixation>+</div></div>,,practice_ITI,197.3516714605677,,practice,0.0,197.3516714605677,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,
32,,call-function,32,606146,0.0-2.0-29.0,,,,,,,,,,,,,,,,,,
33,,html-keyboard-response,33,606648,0.0-2.0-30.0,,<div class = centerbox><div class = fixation>+</div></div>,,practice_fixation,500.0,,practice,0.0,500.0,,,,,,,,,
34,,html-keyboard-response,34,607151,0.0-2.0-31.0,,<div class = centerbox><div class = AX_text>A</div></div>,,practice_cue,500.0,,practice,0.0,500.0,AX,,,,,,,,
35,,html-keyboard-response,35,610158,0.0-2.0-32.0,,<div class = centerbox><div class = fixation>+</div></div>,,practice_inter-stimulus,3000.0,,practice,0.0,3000.0,,,,,,,,,
36,,html-keyboard-response,36,611664,0.0-2.0-33.0,453.0,<div class = centerbox><div class = AX_text>X</div></div>,",",practice_probe,1500.0,,practice,0.0,1000.0,AX,"[',', '.']",",",1.0,,,,,
