,success,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,trial_id,trial_duration,view_history,exp_stage,stimulus_duration,block_num,correct_response,condition,choices,correct_trial,ITIParams,attention_check_question,current_key_answer,exp_id,attention_check_percent
0,True,fullscreen,0,1879,0.0-0.0,,,,,,,,,,,,,,,,,,
1,,html-keyboard-response,1,4176,0.0-1.0-0.0,2294.0,"<div class = centerbox><p class = center-block-text>
    
  <p class=""center-block-text"">
    Welcome! This experiment will take around 10 minutes.
  </p>
  <p class=""center-block-text"">
    To avoid technical issues, please keep the experiment tab (on Chrome or Firefox) active and in fullscreen mode for the whole duration of each task.
  </p>
  <p class=""center-block-text""> Press <i>enter</i> to begin.</p>

    </p></div>",enter,instruction_feedback,180000.0,,,,,,,,,,,,,
2,,instructions,2,18955,0.0-1.0-1.0,14778.0,,,instructions,,"[{'page_index': 0, 'viewing_time': 14777}]",,,,,,,,,,,,
3,,html-keyboard-response,3,19684,0.0-2.0-0.0,726.0,"<div class = bigbox><div class = picture_box><p class = block-text>
    <div class = centerbox><p class = center-block-text>Press <i>enter</i> to begin practice.</p></div>
    </font></p></div></div>",enter,practice_feedback,60000.0,,practice,,,,,,,,,,,
4,,html-keyboard-response,4,20187,0.0-2.0-1.0,,<div class = centerbox><div class = fixation>+</div></div>,,practice_fixation,500.0,,practice,500.0,0.0,,,,,,,,,
5,,html-keyboard-response,5,21694,0.0-2.0-2.0,,<div class = bigbox><div class = centerbox><div class = gng_number><div class = cue-text><div id = stim2></div></div></div></div></div>,,practice_trial,1500.0,,practice,1000.0,0.0,,nogo,"[',']",1.0,,,,,
6,,html-keyboard-response,6,22199,0.0-2.0-3.0,,<div class = center-box><div class = center-text>Correct!</div></div>,,practice_feedback,500.0,,,,,,,,,,,,,
7,,html-keyboard-response,7,22432,0.0-2.0-4.0,,<div class = centerbox><div class = fixation>+</div></div>,,practice_ITI,229.93611714742968,,practice,229.93611714742968,0.0,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,
8,,html-keyboard-response,8,22936,0.0-2.0-5.0,,<div class = centerbox><div class = fixation>+</div></div>,,practice_fixation,500.0,,practice,500.0,0.0,,,,,,,,,
9,,html-keyboard-response,9,24438,0.0-2.0-6.0,261.0,<div class = bigbox><div class = centerbox><div class = gng_number><div class = cue-text><div  id = stim1></div></div></div></div></div>,",",practice_trial,1500.0,,practice,1000.0,0.0,",",go,"[',']",1.0,,,,,
10,,html-keyboard-response,10,24943,0.0-2.0-7.0,,<div class = center-box><divp class = center-text>Correct!</div></div>,,practice_feedback,500.0,,,,,,,,,,,,,
11,,html-keyboard-response,11,24998,0.0-2.0-8.0,,<div class = centerbox><div class = fixation>+</div></div>,,practice_ITI,49.80063584944493,,practice,49.80063584944493,0.0,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,
12,,html-keyboard-response,12,25503,0.0-2.0-9.0,,<div class = centerbox><div class = fixation>+</div></div>,,practice_fixation,500.0,,practice,500.0,0.0,,,,,,,,,
13,,html-keyboard-response,13,27010,0.0-2.0-10.0,479.0,<div class = bigbox><div class = centerbox><div class = gng_number><div class = cue-text><div  id = stim1></div></div></div></div></div>,",",practice_trial,1500.0,,practice,1000.0,0.0,",",go,"[',']",1.0,,,,,
