,success,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,trial_id,trial_duration,view_history,exp_stage,block_num,stimulus_duration,choices,condition,probe,correct_response,delay,letter_case,correct_trial,num_block,ITIParams,attention_check_question,current_key_answer,exp_id,attention_check_percent
0,True,fullscreen,0,2970,0.0-0.0,,,,,,,,,,,,,,,,,,,,,,
1,,html-keyboard-response,1,6162,0.0-1.0-0.0,3190.0,"<div class = centerbox><p class = center-block-text>
    
  <p class=""center-block-text"">
    Welcome! This experiment will take around 10 minutes.
  </p>
  <p class=""center-block-text"">
    To avoid technical issues, please keep the experiment tab (on Chrome or Firefox) active and in fullscreen mode for the whole duration of each task.
  </p>
  <p class=""center-block-text""> Press <i>enter</i> to begin.</p>

    </p></div>",enter,instruction_feedback,180000.0,,,,,,,,,,,,,,,,,
2,,instructions,2,19723,0.0-1.0-1.0,13559.0,,,instructions,,"[{'page_index': 0, 'viewing_time': 10927}, {'page_index': 1, 'viewing_time': 2631}]",,,,,,,,,,,,,,,,
3,,html-keyboard-response,3,20617,0.0-2.0-0.0,892.0,"<div class = bigbox><div class = picture_box><p class = block-text>
    <div class = centerbox><p class = center-block-text>Press <i>enter</i> to begin practice.</p></div>
    </font></p></div></div>",enter,practice_feedback,60000.0,,practice,0.0,,,,,,,,,,,,,,
4,,html-keyboard-response,4,21121,0.0-2.0-1.0,,<div class = centerbox><div class = fixation>+</div></div>,,practice_fixation,500.0,,practice,0.0,500.0,,,,,,,,,,,,,
5,,html-keyboard-response,5,22627,0.0-2.0-2.0,313.0,<div class = bigbox><div class = centerbox><div class = gng_number><div class = cue-text><img class = center src='/static/experiments/n_back_rdoc/images/uppercase_T.png'></img></div></div></div></div>,.,practice_trial,1500.0,,practice,,1000.0,"[',', '.']",N/A,T,.,1.0,uppercase,1.0,0.0,,,,,
6,,html-keyboard-response,6,23130,0.0-2.0-3.0,,<div class = fb_box><div class = center-text><font size =20>Correct!</font></div></div>,,practice_feedback,500.0,,practice,,500.0,,,,,,,,,,,,,
7,,html-keyboard-response,7,23276,0.0-2.0-4.0,,<div class = centerbox><div class = fixation>+</div></div>,,practice_ITI,139.81262010154802,,practice,0.0,139.81262010154802,,,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,
8,,html-keyboard-response,8,23780,0.0-2.0-5.0,,<div class = centerbox><div class = fixation>+</div></div>,,practice_fixation,500.0,,practice,0.0,500.0,,,,,,,,,,,,,
9,,html-keyboard-response,9,25286,0.0-2.0-6.0,555.0,<div class = bigbox><div class = centerbox><div class = gng_number><div class = cue-text><img class = center src='/static/experiments/n_back_rdoc/images/uppercase_V.png'></img></div></div></div></div>,.,practice_trial,1500.0,,practice,,1000.0,"[',', '.']",mismatch,V,.,1.0,uppercase,1.0,0.0,,,,,
10,,html-keyboard-response,10,25789,0.0-2.0-7.0,,<div class = fb_box><div class = center-text><font size =20>Correct!</font></div></div>,,practice_feedback,500.0,,practice,,500.0,,,,,,,,,,,,,
11,,html-keyboard-response,11,26253,0.0-2.0-8.0,,<div class = centerbox><div class = fixation>+</div></div>,,practice_ITI,458.11056829373297,,practice,0.0,458.11056829373297,,,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,
12,,html-keyboard-response,12,26755,0.0-2.0-9.0,,<div class = centerbox><div class = fixation>+</div></div>,,practice_fixation,500.0,,practice,0.0,500.0,,,,,,,,,,,,,
13,,html-keyboard-response,13,28263,0.0-2.0-10.0,501.0,<div class = bigbox><div class = centerbox><div class = gng_number><div class = cue-text><img class = center src='/static/experiments/n_back_rdoc/images/lowercase_D.png'></img></div></div></div></div>,.,practice_trial,1500.0,,practice,,1000.0,"[',', '.']",mismatch,d,.,1.0,lowercase,1.0,0.0,,,,,
14,,html-keyboard-response,14,28766,0.0-2.0-11.0,,<div class = fb_box><div class = center-text><font size =20>Correct!</font></div></div>,,practice_feedback,500.0,,practice,,500.0,,,,,,,,,,,,,
15,,html-keyboard-response,15,28782,0.0-2.0-12.0,,<div class = centerbox><div class = fixation>+</div></div>,,practice_ITI,13.054984274531517,,practice,0.0,13.054984274531517,,,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,
