,success,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,trial_id,trial_duration,view_history,exp_stage,block_num,condition,choices,stimulus_duration,correct_spatial_judgement_key,num_block,spatial_location,correct_trial,spatial_sequence,ITIParams,attention_check_question,current_key_answer,correct_response,exp_id,attention_check_percent
0,True,fullscreen,0,3667,0.0-0.0,,,,,,,,,,,,,,,,,,,,,,
1,,html-keyboard-response,1,4038,0.0-1.0-0.0,369.0,"<div class = centerbox><p class = center-block-text>
    
  <p class=""center-block-text"">
    Welcome! This experiment will take around 24 minutes.
  </p>
  <p class=""center-block-text"">
    To avoid technical issues, please keep the experiment tab (on Chrome or Firefox) active and in fullscreen mode for the whole duration of each task.
  </p>
  <p class=""center-block-text""> Press <i>enter</i> to begin.</p>

    </p></div>",enter,instruction_feedback,180000.0,,,,,,,,,,,,,,,,,
2,,instructions,2,5229,0.0-1.0-1.0,1190.0,,,instructions,,"[{'page_index': 0, 'viewing_time': 906}, {'page_index': 1, 'viewing_time': 283}]",,,,,,,,,,,,,,,,
3,,html-keyboard-response,3,5876,0.0-2.0-0.0,645.0,"<div class = bigbox><div class = picture_box><p class = block-text>
    <div class = centerbox><p class = center-block-text>Press <i>enter</i> to begin practice.</p></div>
    </font></p></div></div>",enter,practice_feedback,60000.0,,practice,0.0,,,,,,,,,,,,,,
4,,html-keyboard-response,4,8883,0.0-2.0-1.0-0.0,,<div class = centerbox><div class = fixation>****</div></div>,,practice_inter-stimulus,3000.0,,practice,0.0,storage-only,,3000.0,,0.0,,,,,,,,,
5,,html-keyboard-response,5,9890,0.0-2.0-2.0,,"<div class=""container""><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box active-box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div></div>",,practice_stim,1000.0,,practice,0.0,storage-only,,1000.0,,0.0,12.0,,,,,,,,
6,,html-keyboard-response,6,12896,0.0-2.0-3.0-0.0,,<div class = centerbox><div class = fixation>****</div></div>,,practice_inter-stimulus,3000.0,,practice,0.0,storage-only,,3000.0,,0.0,,,,,,,,,
7,,html-keyboard-response,7,13899,0.0-2.0-4.0,,"<div class=""container""><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box active-box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div></div>",,practice_stim,1000.0,,practice,0.0,storage-only,,1000.0,,0.0,10.0,,,,,,,,
8,,html-keyboard-response,8,16902,0.0-2.0-5.0-0.0,,<div class = centerbox><div class = fixation>****</div></div>,,practice_inter-stimulus,3000.0,,practice,0.0,storage-only,,3000.0,,0.0,,,,,,,,,
9,,html-keyboard-response,9,17909,0.0-2.0-6.0,,"<div class=""container""><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box active-box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div></div>",,practice_stim,1000.0,,practice,0.0,storage-only,,1000.0,,0.0,9.0,,,,,,,,
10,,html-keyboard-response,10,20916,0.0-2.0-7.0-0.0,,<div class = centerbox><div class = fixation>****</div></div>,,practice_inter-stimulus,3000.0,,practice,0.0,storage-only,,3000.0,,0.0,,,,,,,,,
11,,html-keyboard-response,11,21922,0.0-2.0-8.0,,"<div class=""container""><div class=""box""></div><div class=""box active-box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div></div>",,practice_stim,1000.0,,practice,0.0,storage-only,,1000.0,,0.0,1.0,,,,,,,,
12,,html-keyboard-response,12,26928,0.0-2.0-9.0,,"<div class=""container""><div class=""box response-active""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div></div>","[12, 10, 9, 1]",practice_response,5000.0,,practice,0.0,storage-only,['NO_KEYS'],5000.0,,,,1.0,"[12, 10, 9, 1]",,,,,,
13,,html-keyboard-response,13,27434,0.0-2.0-10.0,,<div class = fb_box><div class = 'center-text'><font size =20>Correct!</font></div></div>,,practice_feedback,500.0,,practice,,,,500.0,,0.0,,,,,,,,,
14,,html-keyboard-response,14,30434,0.0-2.0-11.0,,<div class = centerbox><div class = fixation>+</div></div>,,practice_ITI,2994.0802096065013,,practice,0.0,,,2994.0802096065013,,,,,,"{'min': 2, 'max': 20, 'mean': 5}",,,,,
15,,html-keyboard-response,15,33440,0.0-2.0-12.0-0.0,,<div class = centerbox><div class = fixation>****</div></div>,,practice_inter-stimulus,3000.0,,practice,0.0,storage-only,,3000.0,,0.0,,,,,,,,,
16,,html-keyboard-response,16,34444,0.0-2.0-13.0,,"<div class=""container""><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box active-box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div></div>",,practice_stim,1000.0,,practice,0.0,storage-only,,1000.0,,0.0,11.0,,,,,,,,
17,,html-keyboard-response,17,37449,0.0-2.0-14.0-0.0,,<div class = centerbox><div class = fixation>****</div></div>,,practice_inter-stimulus,3000.0,,practice,0.0,storage-only,,3000.0,,0.0,,,,,,,,,
18,,html-keyboard-response,18,38453,0.0-2.0-15.0,,"<div class=""container""><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box active-box""></div><div class=""box""></div></div>",,practice_stim,1000.0,,practice,0.0,storage-only,,1000.0,,0.0,14.0,,,,,,,,
19,,html-keyboard-response,19,41456,0.0-2.0-16.0-0.0,,<div class = centerbox><div class = fixation>****</div></div>,,practice_inter-stimulus,3000.0,,practice,0.0,storage-only,,3000.0,,0.0,,,,,,,,,
20,,html-keyboard-response,20,42459,0.0-2.0-17.0,,"<div class=""container""><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box active-box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div></div>",,practice_stim,1000.0,,practice,0.0,storage-only,,1000.0,,0.0,7.0,,,,,,,,
21,,html-keyboard-response,21,45466,0.0-2.0-18.0-0.0,,<div class = centerbox><div class = fixation>****</div></div>,,practice_inter-stimulus,3000.0,,practice,0.0,storage-only,,3000.0,,0.0,,,,,,,,,
22,,html-keyboard-response,22,46471,0.0-2.0-19.0,,"<div class=""container""><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box active-box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div></div>",,practice_stim,1000.0,,practice,0.0,storage-only,,1000.0,,0.0,3.0,,,,,,,,
23,,html-keyboard-response,23,51478,0.0-2.0-20.0,,"<div class=""container""><div class=""box""></div><div class=""box""></div><div class=""box response-active""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div></div>","[11, 14, 7, 3]",practice_response,5000.0,,practice,0.0,storage-only,['NO_KEYS'],5000.0,,,,1.0,"[11, 14, 7, 3]",,,,,,
24,,html-keyboard-response,24,51984,0.0-2.0-21.0,,<div class = fb_box><div class = 'center-text'><font size =20>Correct!</font></div></div>,,practice_feedback,500.0,,practice,,,,500.0,,0.0,,,,,,,,,
25,,html-keyboard-response,25,68016,0.0-2.0-22.0,,<div class = centerbox><div class = fixation>+</div></div>,,practice_ITI,16027.758256004141,,practice,0.0,,,16027.758256004141,,,,,,"{'min': 2, 'max': 20, 'mean': 5}",,,,,
26,,html-keyboard-response,26,71023,0.0-2.0-23.0-0.0,,<div class = centerbox><div class = fixation>****</div></div>,,practice_inter-stimulus,3000.0,,practice,0.0,storage-only,,3000.0,,0.0,,,,,,,,,
27,,html-keyboard-response,27,72027,0.0-2.0-24.0,,"<div class=""container""><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box active-box""></div></div>",,practice_stim,1000.0,,practice,0.0,storage-only,,1000.0,,0.0,15.0,,,,,,,,
28,,html-keyboard-response,28,75029,0.0-2.0-25.0-0.0,,<div class = centerbox><div class = fixation>****</div></div>,,practice_inter-stimulus,3000.0,,practice,0.0,storage-only,,3000.0,,0.0,,,,,,,,,
29,,html-keyboard-response,29,76035,0.0-2.0-26.0,,"<div class=""container""><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box active-box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div></div>",,practice_stim,1000.0,,practice,0.0,storage-only,,1000.0,,0.0,12.0,,,,,,,,
30,,html-keyboard-response,30,79040,0.0-2.0-27.0-0.0,,<div class = centerbox><div class = fixation>****</div></div>,,practice_inter-stimulus,3000.0,,practice,0.0,storage-only,,3000.0,,0.0,,,,,,,,,
31,,html-keyboard-response,31,80043,0.0-2.0-28.0,,"<div class=""container""><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box active-box""></div></div>",,practice_stim,1000.0,,practice,0.0,storage-only,,1000.0,,0.0,15.0,,,,,,,,
32,,html-keyboard-response,32,83050,0.0-2.0-29.0-0.0,,<div class = centerbox><div class = fixation>****</div></div>,,practice_inter-stimulus,3000.0,,practice,0.0,storage-only,,3000.0,,0.0,,,,,,,,,
33,,html-keyboard-response,33,84057,0.0-2.0-30.0,,"<div class=""container""><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box active-box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div></div>",,practice_stim,1000.0,,practice,0.0,storage-only,,1000.0,,0.0,3.0,,,,,,,,
34,,html-keyboard-response,34,89061,0.0-2.0-31.0,,"<div class=""container""><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box response-active""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div></div>","[15, 12, 15, 3]",practice_response,5000.0,,practice,0.0,storage-only,['NO_KEYS'],5000.0,,,,1.0,"[15, 12, 15, 3]",,,,,,
35,,html-keyboard-response,35,89566,0.0-2.0-32.0,,<div class = fb_box><div class = 'center-text'><font size =20>Correct!</font></div></div>,,practice_feedback,500.0,,practice,,,,500.0,,0.0,,,,,,,,,
36,,html-keyboard-response,36,93485,0.0-2.0-33.0,,<div class = centerbox><div class = fixation>+</div></div>,,practice_ITI,3913.5127514054802,,practice,0.0,,,3913.5127514054802,,,,,,"{'min': 2, 'max': 20, 'mean': 5}",,,,,
37,,html-keyboard-response,37,95747,0.0-3.0-0.0,2260.0,"<div class = bigbox><div class = picture_box><p class = block-text>
    <div class = centerbox><p class = center-block-text>We will now start the test portion.</p><p class=""block-text"">Keep your fingers on the arrow keys.</p><p class = block-text>Press <i>enter</i> to continue.</p></div>
    </font></p></div></div>",enter,test_feedback,60000.0,,test,0.0,,,,,,,,,,,,,,
38,,html-keyboard-response,38,97848,0.0-3.0-1.0-0.0,2099.0,,c,test_attention_check,,,test,0.0,,,,,,,1.0,,,<p class='block-text'>Press the key for the third letter of the English alphabet.</p> <div class=block-text>This screen will advance automatically in 1 minute.</div>,67.0,,,
39,,html-keyboard-response,39,100853,0.0-3.0-2.0-0.0,,<div class = centerbox><div class = fixation>****</div></div>,,test_inter-stimulus,3000.0,,test,0.0,storage-only,,3000.0,,0.0,,,,,,,,,
40,,html-keyboard-response,40,101860,0.0-3.0-3.0,,"<div class=""container""><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box active-box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div></div>",,test_stim,1000.0,,test,0.0,storage-only,,1000.0,,0.0,10.0,,,,,,,,
41,,html-keyboard-response,41,104867,0.0-3.0-4.0-0.0,,<div class = centerbox><div class = fixation>****</div></div>,,test_inter-stimulus,3000.0,,test,0.0,storage-only,,3000.0,,0.0,,,,,,,,,
42,,html-keyboard-response,42,105869,0.0-3.0-5.0,,"<div class=""container""><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box active-box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div></div>",,test_stim,1000.0,,test,0.0,storage-only,,1000.0,,0.0,9.0,,,,,,,,
43,,html-keyboard-response,43,108875,0.0-3.0-6.0-0.0,,<div class = centerbox><div class = fixation>****</div></div>,,test_inter-stimulus,3000.0,,test,0.0,storage-only,,3000.0,,0.0,,,,,,,,,
44,,html-keyboard-response,44,109882,0.0-3.0-7.0,,"<div class=""container""><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box active-box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div></div>",,test_stim,1000.0,,test,0.0,storage-only,,1000.0,,0.0,7.0,,,,,,,,
45,,html-keyboard-response,45,112885,0.0-3.0-8.0-0.0,,<div class = centerbox><div class = fixation>****</div></div>,,test_inter-stimulus,3000.0,,test,0.0,storage-only,,3000.0,,0.0,,,,,,,,,
46,,html-keyboard-response,46,113887,0.0-3.0-9.0,,"<div class=""container""><div class=""box""></div><div class=""box active-box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div></div>",,test_stim,1000.0,,test,0.0,storage-only,,1000.0,,0.0,1.0,,,,,,,,
47,,html-keyboard-response,47,118893,0.0-3.0-10.0,,"<div class=""container""><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box response-active""></div></div>","[10, 9, 7, 1]",test_response,5000.0,,test,0.0,storage-only,['NO_KEYS'],5000.0,,,,1.0,"[10, 9, 7, 1]",,,,,,
48,,html-keyboard-response,48,124485,0.0-3.0-11.0,,<div class = centerbox><div class = fixation>+</div></div>,,test_ITI,5584.275807676686,,test,0.0,,,5584.275807676686,,,,,,"{'min': 2, 'max': 20, 'mean': 5}",,,,,
49,,html-keyboard-response,49,127491,0.0-3.0-12.0-0.0,,<div class = centerbox><div class = fixation>****</div></div>,,test_inter-stimulus,3000.0,,test,0.0,storage-only,,3000.0,,0.0,,,,,,,,,
50,,html-keyboard-response,50,128498,0.0-3.0-13.0,,"<div class=""container""><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box active-box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div></div>",,test_stim,1000.0,,test,0.0,storage-only,,1000.0,,0.0,7.0,,,,,,,,
51,,html-keyboard-response,51,131505,0.0-3.0-14.0-0.0,,<div class = centerbox><div class = fixation>****</div></div>,,test_inter-stimulus,3000.0,,test,0.0,storage-only,,3000.0,,0.0,,,,,,,,,
52,,html-keyboard-response,52,132507,0.0-3.0-15.0,,"<div class=""container""><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box active-box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div><div class=""box""></div></div>",,test_stim,1000.0,,test,0.0,storage-only,,1000.0,,0.0,9.0,,,,,,,,
53,,html-keyboard-response,53,135514,0.0-3.0-16.0-0.0,,<div class = centerbox><div class = fixation>****</div></div>,,test_inter-stimulus,3000.0,,test,0.0,storage-only,,3000.0,,0.0,,,,,,,,,
