,success,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,trial_id,trial_duration,view_history,exp_stage,block_num,stimulus_duration,response_ends_trial,SS_stimulus,SS_trial_type,SS_duration,SSD,choices,correct_choice,stim,correct_response,current_block,currentTrial,condition,stop_acc,correct_trial,ITIParams,go_acc,attention_check_question,current_key_answer,exp_id,attention_check_percent
0,True,fullscreen,0,5225,0.0-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,html-keyboard-response,1,5726,0.0-1.0-0.0,499.0,"<div class = centerbox><p class = center-block-text>
    
  <p class=""center-block-text"">
    Welcome! This experiment will take around 10 minutes.
  </p>
  <p class=""center-block-text"">
    To avoid technical issues, please keep the experiment tab (on Chrome or Firefox) active and in fullscreen mode for the whole duration of each task.
  </p>
  <p class=""center-block-text""> Press <i>enter</i> to begin.</p>

    </p></div>",enter,instruction_feedback,180000.0,,,,,,,,,,,,,,,,,,,,,,,,
2,,instructions,2,34223,0.0-1.0-1.0,28495.0,,,instructions,,"[{'page_index': 0, 'viewing_time': 8754}, {'page_index': 1, 'viewing_time': 17562}, {'page_index': 2, 'viewing_time': 2178}]",,,,,,,,,,,,,,,,,,,,,,,
3,,html-keyboard-response,3,35058,0.0-2.0-0.0,832.0,"<div class = bigbox><div class = picture_box><p class = block-text>
    <div class = centerbox><p class = center-block-text>Press <i>enter</i> to begin practice.</p></div>
    </font></p></div></div>",enter,practice_feedback,60000.0,,practice,0.0,,,,,,,,,,,,,,,,,,,,,
4,,html-keyboard-response,4,35561,0.0-2.0-1.0,,<div class = centerbox><div class = fixation>+</div></div>,,practice_fixation,500.0,,practice,0.0,500.0,,,,,,,,,,,,,,,,,,,,
5,,poldracklab-stop-signal,5,37065,0.0-2.0-2.0,526.0,<div class = centerbox><div class = cue-text><img class = center src='/static/experiments/stop_signal_rdoc/images/square.png'></img></div></div>,.,practice_trial,1500.0,,practice,0.0,1000.0,False,<img class = center src='/static/experiments/stop_signal_rdoc/images/stopSignal.png'></img>,stop,500.0,350.0,"[',', '.']",,square,,0.0,1.0,stop,0.0,0.0,,,,,,
6,,html-keyboard-response,6,37568,0.0-2.0-3.0,,"<div class = fb_box><div class = center-text><font size = 20>There was a star</font></div></div>
  <div class=""prompt_box"">
    <p class=""center-block-text"" style=""font-size:16px; line-height:80%;"">circle: index finger</p>
    <p class=""center-block-text"" style=""font-size:16px; line-height:80%;"">square: middle finger</p>
    <p class=""center-block-text"" style=""font-size:16px; line-height:80%;"">Do not respond if a star appears.</p>
  </div>
",,practice_feedback,500.0,,practice,0.0,500.0,,,,,,,,,,,,,,,,,,,,
7,,html-keyboard-response,7,37829,0.0-2.0-4.0,,<div class = centerbox><div class = fixation>+</div></div>,,practice_ITI,256.6533529575506,,practice,0.0,256.6533529575506,,,,,,,,,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,,
8,,html-keyboard-response,8,38333,0.0-2.0-5.0,,<div class = centerbox><div class = fixation>+</div></div>,,practice_fixation,500.0,,practice,0.0,500.0,,,,,,,,,,,,,,,,,,,,
9,,poldracklab-stop-signal,9,39836,0.0-2.0-6.0,538.0,<div class = centerbox><div class = cue-text><img class = center src='/static/experiments/stop_signal_rdoc/images/square.png'></img></div></div>,.,practice_trial,1500.0,,practice,0.0,1000.0,False,<img class = center src='/static/experiments/stop_signal_rdoc/images/stopSignal.png'></img>,go,500.0,300.0,"[',', '.']",.,square,.,0.0,2.0,go,,1.0,,1.0,,,,
10,,html-keyboard-response,10,40340,0.0-2.0-7.0,,"<div class = fb_box><div class = center-text><font size = 20>Correct!</font></div></div>
  <div class=""prompt_box"">
    <p class=""center-block-text"" style=""font-size:16px; line-height:80%;"">circle: index finger</p>
    <p class=""center-block-text"" style=""font-size:16px; line-height:80%;"">square: middle finger</p>
    <p class=""center-block-text"" style=""font-size:16px; line-height:80%;"">Do not respond if a star appears.</p>
  </div>
",,practice_feedback,500.0,,practice,0.0,500.0,,,,,,,,,,,,,,,,,,,,
11,,html-keyboard-response,11,40805,0.0-2.0-8.0,,<div class = centerbox><div class = fixation>+</div></div>,,practice_ITI,462.6798239847091,,practice,0.0,462.6798239847091,,,,,,,,,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,,
12,,html-keyboard-response,12,41308,0.0-2.0-9.0,,<div class = centerbox><div class = fixation>+</div></div>,,practice_fixation,500.0,,practice,0.0,500.0,,,,,,,,,,,,,,,,,,,,
13,,poldracklab-stop-signal,13,42813,0.0-2.0-10.0,567.0,<div class = centerbox><div class = cue-text><img class = center src='/static/experiments/stop_signal_rdoc/images/circle.png'></img></div></div>,",",practice_trial,1500.0,,practice,0.0,1000.0,False,<img class = center src='/static/experiments/stop_signal_rdoc/images/stopSignal.png'></img>,go,500.0,300.0,"[',', '.']",",",circle,",",0.0,3.0,go,,1.0,,1.0,,,,
14,,html-keyboard-response,14,43316,0.0-2.0-11.0,,"<div class = fb_box><div class = center-text><font size = 20>Correct!</font></div></div>
  <div class=""prompt_box"">
    <p class=""center-block-text"" style=""font-size:16px; line-height:80%;"">circle: index finger</p>
    <p class=""center-block-text"" style=""font-size:16px; line-height:80%;"">square: middle finger</p>
    <p class=""center-block-text"" style=""font-size:16px; line-height:80%;"">Do not respond if a star appears.</p>
  </div>
",,practice_feedback,500.0,,practice,0.0,500.0,,,,,,,,,,,,,,,,,,,,
15,,html-keyboard-response,15,44028,0.0-2.0-12.0,,<div class = centerbox><div class = fixation>+</div></div>,,practice_ITI,708.9413637984321,,practice,0.0,708.9413637984321,,,,,,,,,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,,
16,,html-keyboard-response,16,44532,0.0-2.0-13.0,,<div class = centerbox><div class = fixation>+</div></div>,,practice_fixation,500.0,,practice,0.0,500.0,,,,,,,,,,,,,,,,,,,,
17,,poldracklab-stop-signal,17,46036,0.0-2.0-14.0,445.0,<div class = centerbox><div class = cue-text><img class = center src='/static/experiments/stop_signal_rdoc/images/circle.png'></img></div></div>,",",practice_trial,1500.0,,practice,0.0,1000.0,False,<img class = center src='/static/experiments/stop_signal_rdoc/images/stopSignal.png'></img>,go,500.0,300.0,"[',', '.']",",",circle,",",0.0,4.0,go,,1.0,,1.0,,,,
18,,html-keyboard-response,18,46540,0.0-2.0-15.0,,"<div class = fb_box><div class = center-text><font size = 20>Correct!</font></div></div>
  <div class=""prompt_box"">
    <p class=""center-block-text"" style=""font-size:16px; line-height:80%;"">circle: index finger</p>
    <p class=""center-block-text"" style=""font-size:16px; line-height:80%;"">square: middle finger</p>
    <p class=""center-block-text"" style=""font-size:16px; line-height:80%;"">Do not respond if a star appears.</p>
  </div>
",,practice_feedback,500.0,,practice,0.0,500.0,,,,,,,,,,,,,,,,,,,,
19,,html-keyboard-response,19,46645,0.0-2.0-16.0,,<div class = centerbox><div class = fixation>+</div></div>,,practice_ITI,99.69453203258665,,practice,0.0,99.69453203258665,,,,,,,,,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,,
20,,html-keyboard-response,20,47149,0.0-2.0-17.0,,<div class = centerbox><div class = fixation>+</div></div>,,practice_fixation,500.0,,practice,0.0,500.0,,,,,,,,,,,,,,,,,,,,
21,,poldracklab-stop-signal,21,48653,0.0-2.0-18.0,446.0,<div class = centerbox><div class = cue-text><img class = center src='/static/experiments/stop_signal_rdoc/images/circle.png'></img></div></div>,",",practice_trial,1500.0,,practice,0.0,1000.0,False,<img class = center src='/static/experiments/stop_signal_rdoc/images/stopSignal.png'></img>,stop,500.0,300.0,"[',', '.']",,circle,,0.0,5.0,stop,0.0,0.0,,,,,,
22,,html-keyboard-response,22,49156,0.0-2.0-19.0,,"<div class = fb_box><div class = center-text><font size = 20>There was a star</font></div></div>
  <div class=""prompt_box"">
    <p class=""center-block-text"" style=""font-size:16px; line-height:80%;"">circle: index finger</p>
    <p class=""center-block-text"" style=""font-size:16px; line-height:80%;"">square: middle finger</p>
    <p class=""center-block-text"" style=""font-size:16px; line-height:80%;"">Do not respond if a star appears.</p>
  </div>
",,practice_feedback,500.0,,practice,0.0,500.0,,,,,,,,,,,,,,,,,,,,
23,,html-keyboard-response,23,49476,0.0-2.0-20.0,,<div class = centerbox><div class = fixation>+</div></div>,,practice_ITI,313.77954758705795,,practice,0.0,313.77954758705795,,,,,,,,,,,,,,,"{'min': 0, 'max': 5, 'mean': 0.5}",,,,,
24,,html-keyboard-response,24,49979,0.0-2.0-21.0,,<div class = centerbox><div class = fixation>+</div></div>,,practice_fixation,500.0,,practice,0.0,500.0,,,,,,,,,,,,,,,,,,,,
25,,poldracklab-stop-signal,25,51482,0.0-2.0-22.0,578.0,<div class = centerbox><div class = cue-text><img class = center src='/static/experiments/stop_signal_rdoc/images/square.png'></img></div></div>,.,practice_trial,1500.0,,practice,0.0,1000.0,False,<img class = center src='/static/experiments/stop_signal_rdoc/images/stopSignal.png'></img>,go,500.0,250.0,"[',', '.']",.,square,.,0.0,6.0,go,,1.0,,1.0,,,,
